Season,League,Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
2017-2018,EPL,Newcastle Utd,DeAndre Yedlin,us USA,DF,24,31.6,55,1.74,48,4,1,1,1,0,2,0.06,2,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Ayoze Pérez,es ESP,"MF,FW",24,27.7,85,3.07,61,0,3,8,9,4,10,0.36,7,0,0,3,0,0
2017-2018,EPL,Newcastle Utd,Jonjo Shelvey,eng ENG,MF,25,25.2,82,3.25,57,18,3,3,0,1,7,0.28,4,2,0,1,0,0
2017-2018,EPL,Newcastle Utd,Florian Lejeune,fr FRA,DF,26,23.4,19,0.81,15,0,1,1,1,1,3,0.13,3,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Mohamed Diamé,sn SEN,MF,30,22.7,39,1.72,26,0,5,2,0,6,0,0,0,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Dwight Gayle,eng ENG,FW,26,21.8,47,2.16,36,0,1,6,4,0,6,0.28,5,0,0,1,0,0
2017-2018,EPL,Newcastle Utd,Javier Manquillo,es ESP,DF,23,19.5,27,1.38,18,5,1,1,2,0,2,0.1,2,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Christian Atsu,gh GHA,"FW,MF",25,19.8,54,2.72,38,1,8,1,5,1,6,0.3,3,0,1,1,1,0
2017-2018,EPL,Newcastle Utd,Ciaran Clark,ie IRL,DF,27,19.4,14,0.72,10,2,0,0,1,1,1,0.05,1,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Joselu,es ESP,FW,27,19,40,2.1,33,0,1,2,4,0,1,0.05,1,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Paul Dummett,wls WAL,DF,25,17.8,13,0.73,12,0,0,1,0,0,2,0.11,2,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Rob Elliot,ie IRL,GK,31,16,2,0.12,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Isaac Hayden,eng ENG,MF,22,15.3,28,1.83,22,0,2,2,0,2,2,0.13,2,0,0,0,0,0
2017-2018,EPL,Newcastle Utd,Mikel Merino,es ESP,MF,21,15,47,3.14,41,1,0,2,1,2,4,0.27,3,0,0,1,0,0
2017-2018,EPL,Newcastle Utd,Jacob Murphy,eng ENG,"MF,FW",22,12.8,28,2.2,18,1,4,3,2,0,3,0.24,2,0,0,1,0,0
2017-2018,EPL,Newcastle Utd,Kenedy,br BRA,"MF,DF",21,11.4,38,3.34,20,7,5,3,2,1,3,0.26,1,1,0,1,0,0
2017-2018,EPL,Newcastle Utd,Martin Dúbravka,sk SVK,GK,28,12,3,0.25,2,1,0,0,0,0,0,0,0,0,0,0,0,0
