Season,League,Team,Player,Nation,Pos,Age,90s,Passes_Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked
2017-2018',SerieA,Torino,Cristian Ansaldi,ar ARG,DF,34,7.7,407,318,86,8,2,4,57,68,10,285,3,4
2017-2018',SerieA,Spezia,Janis Antiste,fr FRA,FW,18,8.8,215,195,19,0,1,0,12,6,0,136,1,6
2017-2018',Bundesliga,Stuttgart,Waldemar Anton,de GER,DF,25,28.8,1826,1744,80,45,1,20,11,32,0,1541,2,14
2017-2018',LaLiga,Mallorca,Josep Antoni Gayá,es ESP,DF,21,0.6,28,26,2,1,0,0,0,0,0,23,0,0
2017-2018',EPL,West Ham,Michail Antonio,jm JAM,FW,31,33,702,675,20,2,4,9,63,16,0,438,7,39
2017-2018',Bundesliga,Bochum,Christopher Antwi-Adjei,gh GHA,"FW,MF",27,12.6,253,223,29,1,3,0,29,27,1,153,1,20
2017-2018',Ligue1,Lyon,Houssem Aouar,dz ALG,"MF,FW",23,27.8,1446,1379,64,23,13,10,21,15,10,1243,3,29
2017-2018',Ligue1,Saint-Étienne,Adil Aouchiche,fr FRA,"MF,FW",19,12,614,550,61,18,1,18,68,3,38,457,3,14
2017-2018',Ligue1,Nantes,Dennis Appiah,fr FRA,DF,29,23.3,1001,856,141,10,1,0,38,131,0,756,4,18
2017-2018',LaLiga,Getafe,Mauro Arambarri,uy URU,MF,25,29.6,1266,1104,157,88,0,32,116,2,66,933,5,29
2017-2018',SerieA,Venezia,Mattia Aramu,it ITA,"MF,FW",26,23.3,795,603,184,43,6,6,144,21,66,524,8,24
2017-2018',Bundesliga,Leverkusen,Charles Aránguiz,cl CHI,MF,32,17.5,1094,1035,53,44,7,13,9,8,1,916,6,27
2017-2018',LaLiga,Celta Vigo,Néstor Araujo,mx MEX,DF,29,29.1,1555,1509,41,38,0,8,3,3,0,1326,5,8
2017-2018',LaLiga,Barcelona,Ronald Araújo,uy URU,DF,22,25.2,1662,1566,92,47,0,21,7,44,0,1491,4,6
2017-2018',EPL,Aston Villa,Cameron Archer,eng ENG,"FW,MF",20,0.3,4,4,0,0,0,0,0,0,0,4,0,0
2017-2018',EPL,West Ham,Alphonse Areola,fr FRA,GK,28,1,40,23,17,3,0,0,0,0,0,21,0,0
2017-2018',LaLiga,Osasuna,Jesús Areso,es ESP,DF,22,2.1,73,40,33,0,0,0,2,33,0,49,0,0
2017-2018',LaLiga,Granada,Matias Arezo,uy URU,"FW,MF",18,1.8,38,35,3,1,0,0,4,1,0,18,0,1
2017-2018',LaLiga,Granada,Santiago Arias,co COL,DF,29,4.9,218,166,50,1,0,0,15,49,0,153,2,2
2017-2018',EPL,Southampton,Adam Armstrong,eng ENG,FW,24,15.7,324,283,40,0,4,1,18,2,0,229,1,6
2017-2018',EPL,Southampton,Stuart Armstrong,sct SCO,MF,29,16.4,744,701,40,3,3,2,35,8,2,590,3,25
2017-2018',SerieA,Bologna,Marko Arnautović,at AUT,FW,32,29.9,908,851,51,1,4,1,12,9,0,659,6,24
2017-2018',Bundesliga,Wolfsburg,Maximilian Arnold,de GER,MF,27,33.3,1869,1602,255,145,5,40,182,7,102,1453,12,21
2017-2018',EPL,Chelsea,Kepa Arrizabalaga,es ESP,GK,26,4,138,110,28,7,0,0,0,0,0,115,0,0
2017-2018',SerieA,Udinese,Tolgay Arslan,de GER,MF,30,18.4,677,649,28,19,2,2,33,1,7,532,0,13
2017-2018',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2017-2018',LaLiga,Cádiz,Santiago Arzamendia,py PAR,MF,23,5.2,170,145,21,4,0,1,18,12,5,105,4,4
2017-2018',Bundesliga,Bochum,Takuma Asano,jp JPN,"FW,MF",26,17.9,378,372,5,0,4,2,34,4,0,244,1,24
2017-2018',Bundesliga,Hertha BSC,Santiago Ascacíbar,ar ARG,MF,24,26.4,1168,1100,63,55,1,4,2,6,0,959,5,24
2017-2018',LaLiga,Villarreal,Sergio Asenjo,es ESP,GK,32,6,228,166,60,4,0,1,0,0,0,185,2,0
2017-2018',LaLiga,Rayo Vallecano,Alejandro Asensio,es ESP,FW,20,0.1,8,8,0,0,0,1,1,0,0,7,0,0
2017-2018',LaLiga,Real Madrid,Marco Asensio,es ESP,"FW,MF",25,19.2,894,809,80,14,0,14,71,16,45,731,5,24
2017-2018',EPL,West Ham,Harrison Ashby,sct SCO,DF,19,0.1,7,6,1,0,0,0,0,1,0,7,0,0
2017-2018',SerieA,Sampdoria,Kristoffer Askildsen,no NOR,MF,20,8.4,226,215,8,5,0,1,2,2,0,147,3,5
2017-2018',Bundesliga,Hoffenheim,Fisnik Asllani,xk KVX,"MF,FW",18,0.1,8,8,0,0,0,0,0,0,0,6,0,0
2017-2018',SerieA,Empoli,Kristjan Asllani,al ALB,MF,19,15,779,718,60,36,1,6,29,4,19,638,1,7
2017-2018',LaLiga,Celta Vigo,Iago Aspas,es ESP,FW,33,34.3,1371,1266,97,38,11,17,108,18,32,968,8,47
2017-2018',Ligue1,Rennes,Lorenz Assignon,tg TOG,DF,21,6.8,383,300,81,4,0,0,21,77,0,306,2,13
2017-2018',Bundesliga,Greuther Fürth,Simon Asta,de GER,DF,20,8.7,401,308,92,2,0,2,16,90,0,282,1,13
2017-2018',Ligue1,Nice,Youcef Atal,dz ALG,DF,25,12.7,738,617,120,8,4,2,54,111,1,556,1,17
2017-2018',EPL,Arsenal,Pierre-Emerick Aubameyang,ga GAB,FW,32,11.5,208,204,2,0,2,0,11,1,0,137,2,9
2017-2018',LaLiga,Barcelona,Pierre-Emerick Aubameyang,ga GAB,FW,32,12,238,218,20,0,2,0,5,0,0,176,0,7
2017-2018',SerieA,Sampdoria,Emil Audero,it ITA,GK,24,28.4,1005,698,300,88,0,2,0,0,0,706,7,0
2017-2018',SerieA,Sampdoria,Tommaso Augello,it ITA,DF,26,26.6,1368,1094,271,34,1,3,74,233,4,1050,3,48
2017-2018',Ligue1,Nantes,Jean-Kévin Augustin,fr FRA,"FW,MF",24,0.9,14,12,2,0,0,0,0,0,0,11,0,0
2017-2018',LaLiga,Sevilla,Ludwig Augustinsson,se SWE,"DF,FW",27,8.8,551,442,107,7,0,3,47,81,19,437,2,10
2017-2018',LaLiga,Villarreal,Serge Aurier,ci CIV,DF,28,11.2,742,646,94,10,0,2,27,84,0,623,2,12
2017-2018',LaLiga,Osasuna,Ezequiel Ávila,ar ARG,"FW,MF",27,20.8,556,526,24,6,2,12,79,8,4,307,6,21
2017-2018',Bundesliga,Union Berlin,Taiwo Awoniyi,ng NGA,FW,23,24.2,474,458,12,0,5,0,10,2,0,313,4,17
2017-2018',SerieA,Salernitana,Ramzi Aya,it ITA,DF,30,1.5,27,20,7,2,0,0,1,5,0,19,0,0
2017-2018',EPL,Crystal Palace,Jordan Ayew,gh GHA,FW,29,22.4,754,738,14,3,8,2,74,9,2,576,2,30
2017-2018',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2017-2018',SerieA,Sassuolo,Kaan Ayhan,tr TUR,DF,26,15,871,824,43,37,3,12,2,3,0,790,4,2
2017-2018',EPL,Leeds United,Luke Ayling,eng ENG,DF,29,25.2,1592,1412,171,36,5,24,31,134,0,1224,9,29
2017-2018',Ligue1,Troyes,Karim Azamoum,fr FRA,DF,31,4.3,148,139,9,2,0,0,1,7,0,102,0,5
2017-2018',Bundesliga,Leverkusen,Sardar Azmoun,ir IRN,"FW,MF",26,4,108,103,3,0,3,0,2,0,0,79,2,3
2017-2018',EPL,Chelsea,César Azpilicueta,es ESP,DF,31,23,1787,1627,153,25,1,0,47,128,0,1486,7,31
2017-2018',LaLiga,Mallorca,Iddrisu Baba,gh GHA,MF,25,21.5,779,760,17,16,0,6,5,1,0,617,2,19
2017-2018',LaLiga,Granada,Carlos Bacca,co COL,FW,34,5.7,99,92,7,0,1,0,4,2,0,62,0,3
2017-2018',EPL,Watford,Daniel Bachmann,at AUT,GK,27,12,364,237,125,38,0,0,0,0,0,216,2,0
2017-2018',Ligue1,Rennes,Loïc Bade,fr FRA,DF,21,10.9,729,718,10,8,0,4,2,2,0,655,1,1
2017-2018',SerieA,Genoa,Milan Badelj,hr CRO,MF,32,31.6,1575,1522,43,39,4,12,10,4,0,1230,10,28
2017-2018',LaLiga,Elche,Édgar Badía,es ESP,GK,29,24,830,542,286,76,0,0,0,0,0,565,2,0
2017-2018',Ligue1,Monaco,Benoît Badiashile,fr FRA,DF,20,20.4,1380,1352,27,24,1,15,1,3,0,1212,1,8
2017-2018',Ligue1,Brest,Youssouph Badji,sn SEN,"FW,MF",19,1.5,35,34,1,0,0,0,1,0,0,22,0,1
2017-2018',LaLiga,Celta Vigo,Miguel Baeza,es ESP,DF,21,0,5,5,0,0,0,0,1,0,0,4,0,0
2017-2018',SerieA,Bologna,Nicola Bagnolini,it ITA,GK,17,0,4,1,3,2,0,0,0,0,0,0,0,0
2017-2018',SerieA,Venezia,Issa Bah,lu LUX,FW,19,0.1,6,6,0,0,0,0,0,0,0,6,0,0
2017-2018',Ligue1,Angers,Stéphane Bahoken,cm CMR,FW,29,12.2,218,203,15,0,1,0,10,2,0,157,0,10
2017-2018',EPL,Aston Villa,Leon Bailey,jm JAM,"FW,MF",23,8.5,226,209,16,1,1,3,33,4,11,150,1,8
2017-2018',EPL,Manchester Utd,Eric Bailly,ci CIV,DF,27,2.4,85,81,4,4,0,1,0,0,0,68,0,1
2017-2018',Ligue1,Brest,Dénys Bain,fr FRA,DF,28,2,84,81,3,3,0,1,0,0,0,79,0,0
2017-2018',Ligue1,Saint-Étienne,Stefan Bajic,fr FRA,GK,19,5.7,186,127,58,14,0,1,0,0,0,130,1,0
2017-2018',SerieA,Empoli,Nedim Bajrami,al ALB,"MF,FW",22,22.8,898,730,163,32,5,4,156,8,97,621,5,31
2017-2018',Ligue1,Marseille,Cédric Bakambu,cd COD,FW,30,4,67,62,5,0,0,0,3,1,0,50,0,0
2017-2018',Ligue1,Saint-Étienne,Abdoulaye Bakayoko,fr FRA,DF,18,3.4,136,132,4,4,0,0,0,0,0,93,0,4
2017-2018',SerieA,Milan,Tiemoué Bakayoko,fr FRA,MF,26,5.6,304,303,1,1,0,2,1,0,0,269,0,3
2017-2018',Comp,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks
2017-2018',Bundesliga,Leverkusen,Mitchel Bakker,nl NED,DF,21,20.2,1228,1046,181,15,2,6,37,166,0,994,1,28
2017-2018',Bundesliga,Wolfsburg,Ridle Baku,de GER,"DF,FW",23,27.2,1338,1109,222,17,2,5,73,200,5,1011,7,31
2017-2018',Ligue1,Bordeaux,Dilane Bakwa,fr FRA,"FW,MF",18,0.5,14,13,1,0,0,0,0,0,0,7,0,0
2017-2018',SerieA,Empoli,Tommaso Baldanzi,it ITA,FW,18,0.2,6,6,0,0,0,0,1,0,0,5,0,0
2017-2018',LaLiga,Barcelona,Alejandro Balde,es ESP,"DF,FW",17,2.1,150,143,7,2,0,0,6,5,0,138,0,2
2017-2018',Ligue1,Lens,Ibrahima Baldé,fr FRA,"FW,MF",18,0.6,11,9,2,0,0,0,1,1,0,7,0,0
2017-2018',SerieA,Cagliari,Keita Baldé,sn SEN,FW,26,13.7,260,248,12,1,1,1,8,0,0,187,0,6
2017-2018',LaLiga,Real Madrid,Gareth Bale,wls WAL,FW,32,3.1,65,62,0,0,0,1,3,0,0,45,3,2
2017-2018',LaLiga,Athletic Club,Mikel Balenziaga,es ESP,DF,33,22.5,1013,794,217,20,0,5,51,197,0,765,2,23
2017-2018',Ligue1,Marseille,Leonardo Balerdi,ar ARG,DF,22,10.6,819,794,25,25,0,4,0,0,0,753,0,3
2017-2018',LaLiga,Rayo Vallecano,Iván Balliu,al ALB,DF,29,35,1796,1331,460,33,1,7,111,426,1,1350,5,48
2017-2018',SerieA,Milan,Fodé Ballo-Touré,sn SEN,DF,24,5,272,234,37,6,0,0,18,31,0,230,1,4
2017-2018',EPL,Arsenal,Folarin Balogun,us USA,FW,20,0.8,9,9,0,0,1,0,0,0,0,4,0,1
2017-2018',Ligue1,Angers,Abdoulaye Bamba,ci CIV,"DF,FW",31,5.1,183,138,45,3,0,0,10,42,0,140,0,6
2017-2018',Ligue1,Lille,Jonathan Bamba,ci CIV,"MF,FW",25,27,1148,1003,139,33,3,4,115,37,69,866,6,37
2017-2018',EPL,Leeds United,Patrick Bamford,eng ENG,FW,27,6.2,108,89,19,0,1,0,3,1,0,88,0,3
2017-2018',SerieA,Empoli,Filippo Bandinelli,it ITA,MF,26,21.7,733,700,26,4,4,6,68,14,6,537,7,21
