year,hname,aname,hgoals,agoals,hPossesion,aPossesion,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hyellowCards,ayellowCards,hredCards,aredCards,hfouls,afouls,hsaves,asaves
2006,Ukraine,Georgia,3,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2006,Lithuania,Scotland,1,2,0,0,0,0,0,0,4,3,0,0,0,0,0,0
2006,Bulgaria,Slovenia,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
2006,Finland,Portugal,1,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0
2006,Israel,Andorra,4,1,0,0,0,0,0,0,3,4,0,1,0,0,0,0
2006,Norway,Moldova,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
2006,Sweden,Liechtenstein,3,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2006,Albania,Romania,0,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0
2006,Turkey,Malta,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2006,Iceland,Denmark,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2006,Bosnia and Herzegovina,Hungary,1,3,0,0,0,0,0,0,4,1,1,0,0,0,0,0
2006,Slovakia,Czech Republic,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2006,Netherlands,Belarus,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2006,Poland,Serbia,1,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0
2006,San Marino,Germany,0,13,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2006,France,Italy,3,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0
2006,North Macedonia,England,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0
2006,Northern Ireland,Spain,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2006,Faroe Islands,Lithuania,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2006,Wales,Slovakia,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2006,Kazakhstan,Poland,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2006,Russia,Israel,1,1,53,47,4,0,11,3,3,2,0,0,9,10,0,3
2006,Czech Republic,San Marino,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Armenia,Finland,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
2006,England,North Macedonia,0,0,58,42,7,3,16,7,1,1,0,0,8,18,4,9
2006,Moldova,Bosnia and Herzegovina,2,2,0,0,0,0,0,0,3,2,0,0,0,0,0,1
2006,Scotland,France,1,0,42,58,4,8,6,16,3,0,0,0,20,9,8,6
2006,Cyprus,Republic of Ireland,5,2,0,0,0,0,0,0,5,3,0,1,0,0,0,0
2006,Romania,Belarus,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2006,Hungary,Turkey,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2006,Bulgaria,Netherlands,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2006,Denmark,Northern Ireland,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2006,Latvia,Iceland,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2006,Sweden,Spain,2,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0
2006,Croatia,Andorra,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2006,Serbia,Belgium,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2006,Greece,Norway,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
2006,Slovenia,Luxembourg,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2006,Italy,Ukraine,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
2006,Portugal,Azerbaijan,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
