Year,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
2016,Aleksandar Dragovi?,DF,at Austria,24,1991,2,2,155,1.7,0,0,0,0,0,1,2,1,0,0,0,0,0
2016,Julian Draxler,MF,de Germany,22,1993,5,4,357,4,1,1,2,1,0,0,1,0,0.25,0.25,0.5,0.25,0.5
2016,Ondrej Duda,FW,sk Slovakia,21,1994,3,2,154,1.7,1,0,1,1,0,0,0,0,0.58,0,0.58,0.58,0.58
2016,Shane Duffy,DF,ie Rep. of Ireland,24,1992,2,2,156,1.7,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,Ján ?urica,DF,sk Slovakia,34,1981,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Michal ?uriš,FW,sk Slovakia,27,1988,3,2,133,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Jimmy Durmaz,MF,se Sweden,26,1989,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Blerim Džemaili,MF,ch Switzerland,29,1986,4,4,303,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Balázs Dzsudzsák,"MF,FW",hu Hungary,29,1986,4,4,360,4,2,0,2,2,0,0,1,0,0.5,0,0.5,0.5,0.5
2016,Artem Dzyuba,FW,ru Russia,27,1988,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Éder,FW,pt Portugal,28,1987,3,0,57,0.6,1,0,1,1,0,0,0,0,1.58,0,1.58,1.58,1.58
2016,Éder,FW,it Italy,29,1986,4,4,350,3.9,1,0,1,1,0,0,1,0,0.26,0,0.26,0.26,0.26
2016,David Edwards,MF,wls Wales,29,1986,3,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Albin Ekdal,MF,se Sweden,26,1989,3,2,173,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Ákos Elek,MF,hu Hungary,27,1988,2,1,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Eliseu,DF,pt Portugal,32,1983,2,2,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Theódór Elmar Bjarnason,"FW,MF",is Iceland,28,1987,3,0,35,0.4,0,1,1,0,0,0,0,0,0,2.57,2.57,0,2.57
2016,Breel Embolo,FW,ch Switzerland,18,1997,4,1,193,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Caner Erkin,DF,tr Türkiye,27,1988,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Corry Evans,MF,nir Northern Ireland,25,1990,3,3,262,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Jonny Evans,DF,nir Northern Ireland,28,1988,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Patrice Evra,DF,fr France,34,1981,7,7,660,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,?ukasz Fabia?ski,GK,pl Poland,30,1985,4,4,420,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Cesc Fàbregas,MF,es Spain,28,1987,4,4,312,3.5,0,2,2,0,0,0,0,0,0,0.58,0.58,0,0.58
2016,Artem Fedetskyi,DF,ua Ukraine,30,1985,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Marouane Fellaini,MF,be Belgium,28,1987,3,1,145,1.6,0,0,0,0,0,0,2,0,0,0,0,0,0
2016,Shane Ferguson,MF,nir Northern Ireland,24,1991,1,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Gelson Fernandes,MF,ch Switzerland,29,1986,3,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Steliano Filip,"DF,MF",ro Romania,21,1994,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Alfreð Finnbogason,FW,is Iceland,26,1989,3,0,77,0.9,0,0,0,0,0,0,2,0,0,0,0,0,0
2016,Attila Fiola,DF,hu Hungary,25,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Alessandro Florenzi,MF,it Italy,24,1991,4,4,342,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,José Fonte,DF,pt Portugal,32,1983,4,4,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Emil Forsberg,MF,se Sweden,24,1991,3,3,249,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Fabian Frei,"DF,MF",ch Switzerland,27,1989,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Ari Freyr Skúlason,DF,is Iceland,28,1987,5,5,450,5,0,1,1,0,0,0,1,0,0,0.2,0.2,0,0.2
2016,Christian Fuchs,DF,at Austria,29,1986,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Shkëlzen Gashi,"FW,MF",al Albania,27,1988,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,David de Gea,GK,es Spain,25,1990,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Theodor Gebre Selassie,MF,cz Czechia,29,1986,1,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Zoltán Gera,MF,hu Hungary,36,1979,4,4,270,3,1,0,1,1,0,0,1,0,0.33,0,0.33,0.33,0.33
2016,Emanuele Giaccherini,MF,it Italy,30,1985,4,4,390,4.3,1,1,2,1,0,0,1,0,0.23,0.23,0.46,0.23,0.46
2016,André-Pierre Gignac,FW,fr France,30,1985,6,1,208,2.3,0,1,1,0,0,0,0,0,0,0.43,0.43,0,0.43
2016,Olivier Giroud,FW,fr France,29,1986,6,6,452,5,3,2,5,3,0,0,1,0,0.6,0.4,1,0.6,1
2016,Kamil Glik,DF,pl Poland,27,1988,5,5,510,5.7,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,Denis Glushakov,MF,ru Russia,29,1987,3,1,146,1.6,1,0,1,1,0,0,0,0,0.62,0,0.62,0.62,0.62
2016,Aleksandr Golovin,MF,ru Russia,19,1996,3,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
