Year,Country,Player,Pos,Age,Int Matches Played,Int Starts,Int Min,Int 90s,Int Goals,Int Assists,Int Goals + Assists ,Int Non Penalty Goals,Int Penalty Goals,Int Penaltes Attempted,Int Yellow Cards,Int Red Cards,Int Goals Per 90,Int Assists Per 90,Int Goals + Assits Per 90,Int Non Penalty Goals Per 90,Int Non Penalty Goals + Assits Per 90
2019,Albania ,Taulant Seferi,FW,23,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Albania ,Alban Hoxha,GK,32,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Albania ,Elseid Hysaj,DF,25,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Albania ,Rey Manaj,FW,22,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Albania ,Freddie Veseli,DF,27,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Albania ,Sherif Kallaku,MF,21,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Albania ,Marsel Ismajlgeci,DF,19,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Albania ,Amir Abrashi,MF,29,0,0,,,,,,,,,,,,,,,
2019,Albania ,Emiliano Bullari,FW,18,0,0,,,,,,,,,,,,,,,
2019,Albania ,Enis Çokaj,MF,20,0,0,,,,,,,,,,,,,,,
2019,Albania ,Berat Djimsiti,"DF,MF",26,0,0,,,,,,,,,,,,,,,
2019,Albania ,Ledian Memushaj,MF,33,0,0,,,,,,,,,,,,,,,
2019,Albania ,Marco Molla,GK,17,0,0,,,,,,,,,,,,,,,
2020,Albania ,Berat Djimsiti,DF,27,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,Albania ,Freddie Veseli,DF,27,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Amir Abrashi,MF,30,5,5,445,4.9,0,0,0,0,0,0,2,0,0,0,0,0,0
2020,Albania ,Rey Manaj,FW,23,6,5,428,4.8,2,0,2,1,1,1,1,0,0.42,0,0.42,0.21,0.21
2020,Albania ,Etrit Berisha,GK,31,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Kastriot Dermaku,DF,28,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,Albania ,Klaus Gjasula,MF,30,4,3,276,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,Albania ,Keidi Bare,MF,22,3,3,270,3,1,0,1,1,0,0,1,0,0.33,0,0.33,0.33,0.33
2020,Albania ,Elseid Hysaj,"DF,MF",26,3,3,266,3,0,1,1,0,0,0,2,1,0,0.34,0.34,0,0.34
2020,Albania ,Lorenc Trashi,"MF,FW",28,4,3,252,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Qazim Laçi,"MF,FW",24,4,3,246,2.7,0,0,0,0,0,0,2,0,0,0,0,0,0
2020,Albania ,Sokol Cikalleshi,"FW,MF",30,3,3,219,2.4,4,0,4,3,1,1,0,0,1.64,0,1.64,1.23,1.23
2020,Albania ,Ardian Ismajli,DF,23,2,2,180,2,1,0,1,1,0,0,0,0,0.5,0,0.5,0.5,0.5
2020,Albania ,Thomas Strakosha,GK,25,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Armando Broja,"MF,FW",18,3,2,162,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,Albania ,Ledian Memushaj,MF,33,2,2,149,1.7,0,1,1,0,0,0,0,0,0,0.6,0.6,0,0.6
2020,Albania ,Marash Kumbulla,DF,20,2,2,146,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,Albania ,Sherif Kallaku,MF,22,2,2,143,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Enea Mihaj,DF,22,3,1,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Myrto Uzuni,FW,25,3,1,117,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,Albania ,Albi Doka,DF,23,2,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Hysen Memolla,MF,28,2,1,99,1.1,0,1,1,0,0,0,0,0,0,0.91,0.91,0,0.91
2020,Albania ,Taulant Seferi,FW,23,3,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Armando Sadiku,FW,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Ermir Lenjani,FW,30,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Bekim Balaj,FW,29,3,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Odise Roshi,MF,29,2,0,38,0.4,0,1,1,0,0,0,0,0,0,2.37,2.37,0,2.37
2020,Albania ,Giacomo Vrioni,FW,21,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Lindon Selahi,MF,21,2,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Endri Çekiçi,"FW,MF",23,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Albania ,Ylber Ramadani,MF,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
