Season,League,Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches
2018-2019,Bundesliga,Hannover 96,Michael Esser,de GER,GK,30,32,32,2880,32,66,2.06,214,148,71.5,5,6,21,5,15.6,6,5,1,16.7,
2018-2019,Bundesliga,Hannover 96,Samuel Şahin-Radlinger,at AUT,GK,25,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,,
2018-2019,Bundesliga,Hannover 96,Philipp Tschauner,de GER,GK,32,1,1,90,1,3,3,6,3,66.7,0,0,1,0,0,1,1,0,0,
2018-2019,Bundesliga,Nürnberg,Christian Mathenia,de GER,GK,26,22,22,1933,21.5,40,1.86,118,80,67.8,1,7,14,2,9.1,2,2,0,0,
2018-2019,Bundesliga,Nürnberg,Fabian Bredlow,de GER,GK,23,14,12,1127,12.5,28,2.24,61,32,54.1,2,3,7,2,16.7,2,0,1,100,
2018-2019,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,26,35,35,3150,35,32,0.91,116,85,73.3,25,8,2,16,45.7,1,1,0,0,
2018-2019,LaLiga,Barcelona,Jasper Cillessen,nl NED,GK,29,3,3,270,3,4,1.33,14,10,78.6,1,1,1,1,33.3,1,1,0,0,
2018-2019,LaLiga,Atlético Madrid,Jan Oblak,si SVN,GK,25,37,37,3330,37,27,0.73,129,104,82.9,22,9,6,20,54.1,5,5,0,0,
2018-2019,LaLiga,Atlético Madrid,Antonio Adán,es ESP,GK,31,2,1,90,1,2,2,7,5,71.4,0,1,0,0,0,0,0,0,,
2018-2019,LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,26,27,27,2430,27,36,1.33,104,67,71.2,14,3,10,8,29.6,8,6,1,14.3,
2018-2019,LaLiga,Real Madrid,Keylor Navas,cr CRC,GK,31,10,10,900,10,8,0.8,31,23,74.2,6,2,2,4,40,0,0,0,,
2018-2019,LaLiga,Real Madrid,Luca Zidane,fr FRA,GK,20,1,1,90,1,2,2,3,1,33.3,1,0,0,0,0,0,0,0,,
2018-2019,LaLiga,Valencia,Neto,br BRA,GK,29,34,34,3060,34,34,1,139,106,80.6,13,14,7,10,29.4,8,7,1,12.5,
2018-2019,LaLiga,Valencia,Jaume Doménech,es ESP,GK,27,4,4,360,4,1,0.25,13,12,92.3,2,2,0,3,75,0,0,0,,
2018-2019,LaLiga,Getafe,David Soria,es ESP,GK,25,37,37,3330,37,34,0.92,133,99,77.4,14,14,9,13,35.1,6,4,1,20,
2018-2019,LaLiga,Getafe,Leandro Chichizola,ar ARG,GK,28,1,1,90,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,
2018-2019,LaLiga,Sevilla,Tomáš Vaclík,cz CZE,GK,29,33,33,2970,33,44,1.33,143,98,72,13,8,12,8,24.2,5,4,1,20,
2018-2019,LaLiga,Sevilla,Juan Soriano,es ESP,GK,20,4,4,359,4,2,0.5,11,9,90.9,4,0,0,2,50,1,1,0,0,
2018-2019,LaLiga,Sevilla,Javier Díaz,es ESP,GK,21,1,1,90,1,1,1,2,1,100,0,0,1,0,0,1,1,0,0,
