Season,League,Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches
2022-2023,PrimeiraLiga,Rio Ave,Jhonatan,br BRA,GK,31,32,32,2880,32,39,1.22,146,107,73.3,10,10,12,10,31.3,3,0,2,100,
2022-2023,PrimeiraLiga,Rio Ave,Magrão,br BRA,GK,22,2,2,180,2,4,2,8,5,62.5,0,0,2,0,0,1,1,0,0,
2022-2023,PrimeiraLiga,Gil Vicente FC,Andrew,br BRA,GK,21,24,23,2131,23.7,26,1.1,121,95,80.2,6,6,11,7,30.4,2,2,0,0,
2022-2023,PrimeiraLiga,Gil Vicente FC,Stanislav Kritsyuk,ru RUS,GK,31,11,11,929,10.3,15,1.45,55,40,74.5,4,1,6,1,9.1,1,1,0,0,
2022-2023,PrimeiraLiga,Estoril,Daniel Leite,pt POR,GK,24,32,32,2855,31.7,41,1.29,144,102,76.4,10,4,18,8,25,10,7,2,22.2,
2022-2023,PrimeiraLiga,Estoril,Pedro José Moreira Silva,pt POR,GK,25,3,2,203,2.3,8,3.55,18,9,72.2,0,1,1,0,0,4,3,1,25,
2022-2023,PrimeiraLiga,Portimonense,Kosuke Nakamura,jp JPN,GK,27,30,30,2700,30,46,1.53,181,135,75.7,7,4,19,6,20,4,2,1,33.3,
2022-2023,PrimeiraLiga,Portimonense,Samuel Portugal,br BRA,GK,28,4,4,360,4,2,0.5,18,16,88.9,3,0,1,2,50,0,0,0,,
2022-2023,PrimeiraLiga,Marítimo,Marcelo Carné,br BRA,GK,32,14,14,1260,14,24,1.71,68,45,69.1,5,1,8,2,14.3,4,3,0,0,
2022-2023,PrimeiraLiga,Marítimo,João Miguel Macedo Silva,pt POR,GK,27,8,8,720,8,23,2.87,53,30,58.5,0,1,7,0,0,2,1,0,0,
2022-2023,PrimeiraLiga,Marítimo,Giorgi Makaridze,ge GEO,GK,32,6,6,540,6,11,1.83,20,9,55,1,0,5,1,16.7,2,2,0,0,
2022-2023,PrimeiraLiga,Marítimo,Matouš Trmal,cz CZE,GK,23,6,6,540,6,5,0.83,26,21,84.6,1,3,2,2,33.3,1,1,0,0,
2022-2023,PrimeiraLiga,Paços,José Carlos Marafona,pt POR,GK,35,16,16,1426,15.8,22,1.39,80,60,72.5,6,3,7,2,12.5,1,0,0,,
2022-2023,PrimeiraLiga,Paços,Igor Vekič,si SVN,GK,24,10,9,821,9.1,17,1.86,34,17,52.9,0,2,7,1,11.1,1,1,0,0,
2022-2023,PrimeiraLiga,Paços,Jordi Almeida,br BRA,GK,28,6,6,540,6,14,2.33,35,23,60,0,0,6,0,0,0,0,0,,
2022-2023,PrimeiraLiga,Paços,José Oliveira,pt POR,GK,20,3,3,270,3,9,3,18,9,55.6,0,0,3,0,0,1,1,0,0,
2022-2023,PrimeiraLiga,Santa Clara,Gabriel Batista,br BRA,GK,24,26,26,2340,26,49,1.88,129,82,66.7,4,5,17,4,15.4,9,6,1,14.3,
2022-2023,PrimeiraLiga,Santa Clara,Marco André Rocha Pereira,pt POR,GK,35,8,8,720,8,9,1.13,31,21,74.2,1,2,5,1,12.5,4,1,1,50,
2022-2023,EPL,Manchester City,Ederson,br BRA,GK,28,35,35,3150,35,32,0.91,77,46,62.3,26,4,5,11,31.4,3,3,0,0,
2022-2023,EPL,Manchester City,Stefan Ortega,de GER,GK,29,3,3,270,3,1,0.33,15,14,93.3,2,1,0,2,66.7,0,0,0,,
2022-2023,EPL,Arsenal,Aaron Ramsdale,eng ENG,GK,24,38,38,3420,38,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,0,
2022-2023,EPL,Manchester Utd,David de Gea,es ESP,GK,31,38,38,3420,38,43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,33.3,
2022-2023,EPL,Newcastle Utd,Nick Pope,eng ENG,GK,30,37,37,3261,36.2,32,0.88,118,85,74.6,19,13,5,14,37.8,5,2,2,50,
2022-2023,EPL,Newcastle Utd,Martin Dúbravka,sk SVK,GK,33,2,1,157,1.7,1,0.57,9,9,88.9,0,1,0,0,0,0,0,0,,
2022-2023,EPL,Liverpool,Alisson,br BRA,GK,29,37,37,3330,37,43,1.16,147,105,72.1,19,9,9,14,37.8,4,2,1,33.3,
2022-2023,EPL,Liverpool,Caoimhín Kelleher,ie IRL,GK,23,1,1,90,1,4,4,10,6,60,0,1,0,0,0,0,0,0,,
2022-2023,EPL,Brighton,Robert Sánchez,es ESP,GK,24,23,23,2070,23,30,1.3,74,46,66.2,11,5,7,6,26.1,6,5,1,16.7,
2022-2023,EPL,Brighton,Jason Steele,eng ENG,GK,31,15,15,1350,15,23,1.53,57,36,61.4,7,3,5,6,40,2,1,1,50,
2022-2023,EPL,Aston Villa,Emiliano Martínez,ar ARG,GK,29,36,36,3139,34.9,38,1.09,132,97,74.2,17,7,12,11,30.6,5,4,1,20,
2022-2023,EPL,Aston Villa,Robin Olsen,se SWE,GK,32,4,2,281,3.1,8,2.56,19,11,63.2,1,0,1,1,50,1,1,0,0,
2022-2023,EPL,Tottenham,Hugo Lloris,fr FRA,GK,35,25,25,2205,24.5,39,1.59,117,79,67.5,13,3,9,7,28,1,1,0,0,
2022-2023,EPL,Tottenham,Fraser Forster,eng ENG,GK,34,14,13,1215,13.5,24,1.78,55,30,60,5,3,5,3,23.1,3,2,1,33.3,
2022-2023,EPL,Brentford,David Raya,es ESP,GK,26,38,38,3420,38,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,
2022-2023,EPL,Fulham,Bernd Leno,de GER,GK,30,36,36,3240,36,51,1.42,192,142,77.1,15,5,16,8,22.2,8,7,1,12.5,
2022-2023,EPL,Fulham,Marek Rodák,sk SVK,GK,25,2,2,180,2,2,1,4,2,50,0,2,0,1,50,0,0,0,,
2022-2023,EPL,Crystal Palace,Vicente Guaita,es ESP,GK,35,27,27,2430,27,34,1.26,116,84,72.4,7,9,11,6,22.2,2,2,0,0,
2022-2023,EPL,Crystal Palace,Sam Johnstone,eng ENG,GK,29,9,9,810,9,10,1.11,34,25,76.5,4,3,2,3,33.3,2,2,0,0,
2022-2023,EPL,Crystal Palace,Joseph Whitworth,eng ENG,GK,18,2,2,180,2,5,2.5,10,5,50,0,0,2,0,0,0,0,0,,
2022-2023,EPL,Chelsea,Kepa Arrizabalaga,es ESP,GK,27,29,29,2565,28.5,33,1.16,120,90,73.3,8,9,12,9,31,1,1,0,0,
2022-2023,EPL,Chelsea,Edouard Mendy,sn SEN,GK,30,10,9,855,9.5,14,1.47,39,25,64.1,3,2,4,1,11.1,0,0,0,,
2022-2023,EPL,Wolves,José Sá,pt POR,GK,29,36,36,3240,36,55,1.53,161,105,67.1,11,7,18,11,30.6,4,2,2,50,
2022-2023,EPL,Wolves,Daniel Bentley,eng ENG,GK,29,2,2,180,2,3,1.5,13,10,76.9,0,1,1,0,0,0,0,0,,
2022-2023,EPL,West Ham,Łukasz Fabiański,pl POL,GK,37,36,36,3111,34.6,48,1.39,154,106,70.1,11,6,19,8,22.2,4,2,1,33.3,
2022-2023,EPL,West Ham,Alphonse Areola,fr FRA,GK,29,5,2,309,3.4,7,2.04,16,9,68.8,0,1,1,1,50,2,2,0,0,
2022-2023,EPL,Bournemouth,Neto,br BRA,GK,33,27,27,2385,26.5,39,1.47,138,100,74.6,9,6,12,6,22.2,5,4,0,0,
2022-2023,EPL,Bournemouth,Mark Travers,ie IRL,GK,23,12,11,1035,11.5,32,2.78,66,36,54.5,2,0,9,2,18.2,2,2,0,0,
2022-2023,EPL,Nott'ham Forest,Dean Henderson,eng ENG,GK,25,18,18,1620,18,31,1.72,85,52,65.9,5,5,8,6,33.3,5,2,2,50,
2022-2023,EPL,Nott'ham Forest,Keylor Navas,cr CRC,GK,35,17,17,1529,17,32,1.88,83,51,66.3,4,4,9,1,5.9,4,4,0,0,
2022-2023,EPL,Nott'ham Forest,Wayne Hennessey,wls WAL,GK,35,4,3,271,3,5,1.66,14,9,64.3,0,2,1,1,33.3,0,0,0,,
2022-2023,EPL,Everton,Jordan Pickford,eng ENG,GK,28,37,37,3330,37,57,1.54,181,123,71.3,7,12,18,8,21.6,6,5,1,16.7,
2022-2023,EPL,Everton,Asmir Begović,ba BIH,GK,35,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,,
2022-2023,EPL,Leicester City,Danny Ward,wls WAL,GK,29,26,26,2340,26,46,1.77,119,75,63,7,3,16,6,23.1,3,2,1,33.3,
2022-2023,EPL,Leicester City,Daniel Iversen,dk DEN,GK,25,12,12,1080,12,22,1.83,59,38,66.1,2,4,6,1,8.3,2,2,0,0,
2022-2023,EPL,Leeds United,Illan Meslier,fr FRA,GK,22,34,34,3060,34,67,1.97,158,92,59.5,7,9,18,5,14.7,3,3,0,0,
2022-2023,EPL,Leeds United,Joel Robles,es ESP,GK,32,4,4,360,4,11,2.75,27,16,66.7,0,1,3,0,0,3,2,0,0,
2022-2023,EPL,Southampton,Gavin Bazunu,ie IRL,GK,20,32,32,2880,32,56,1.75,120,67,54.2,6,6,20,4,12.5,2,1,1,50,
2022-2023,EPL,Southampton,Alex McCarthy,eng ENG,GK,32,6,6,540,6,17,2.83,30,14,46.7,0,1,5,0,0,1,1,0,0,
2022-2023,Bundesliga,Bayern Munich,Yann Sommer,ch SUI,GK,33,19,19,1710,19,25,1.32,55,30,67.3,11,4,4,5,26.3,7,7,0,0,
2022-2023,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,36,12,12,1080,12,11,0.92,44,33,79.5,7,4,1,4,33.3,2,2,0,0,
2022-2023,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,33,3,3,270,3,2,0.67,8,5,75,3,0,0,2,66.7,1,0,1,100,
2022-2023,Bundesliga,Dortmund,Gregor Kobel,ch SUI,GK,24,27,27,2430,27,32,1.19,119,88,73.9,19,3,5,11,40.7,1,1,0,0,
2022-2023,Bundesliga,Dortmund,Alexander Meyer,de GER,GK,31,7,7,630,7,12,1.71,32,20,62.5,3,2,2,1,14.3,0,0,0,,
2022-2023,Bundesliga,RB Leipzig,Janis Blaswich,de GER,GK,31,26,26,2340,26,29,1.12,75,45,69.3,16,4,6,7,26.9,7,6,1,14.3,
2022-2023,Bundesliga,RB Leipzig,Péter Gulácsi,hu HUN,GK,32,6,6,540,6,10,1.67,26,17,65.4,2,2,2,2,33.3,1,1,0,0,
2022-2023,Bundesliga,RB Leipzig,Ørjan Nyland,no NOR,GK,31,2,2,180,2,2,1,5,4,60,2,0,0,1,50,0,0,0,,
2022-2023,Bundesliga,Union Berlin,Frederik Rønnow,dk DEN,GK,29,29,29,2610,29,27,0.93,119,92,81.5,16,7,6,11,37.9,5,5,0,0,
2022-2023,Bundesliga,Union Berlin,Lennart Grill,de GER,GK,23,5,5,450,5,11,2.2,25,14,64,2,1,2,2,40,2,2,0,0,
2022-2023,Bundesliga,Freiburg,Mark Flekken,nl NED,GK,29,34,34,3060,34,44,1.29,150,106,74,17,8,9,13,38.2,6,5,0,0,
2022-2023,Bundesliga,Leverkusen,Lukáš Hrádecký,fi FIN,GK,32,33,33,2969,33,47,1.42,142,97,71.8,14,8,11,9,27.3,7,7,0,0,
2022-2023,Bundesliga,Leverkusen,Andrey Lunyov,ru RUS,GK,30,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,,
2022-2023,Bundesliga,Eint Frankfurt,Kevin Trapp,de GER,GK,32,33,33,2970,33,51,1.55,130,80,62.3,13,10,10,6,18.2,2,2,0,0,
2022-2023,Bundesliga,Eint Frankfurt,Diant Ramaj,de GER,GK,20,1,1,90,1,1,1,5,4,80,0,1,0,0,0,0,0,0,,
2022-2023,Bundesliga,Wolfsburg,Koen Casteels,be BEL,GK,30,34,34,3060,34,48,1.41,147,101,70.1,13,10,11,12,35.3,7,4,1,20,
2022-2023,Bundesliga,Mainz 05,Robin Zentner,de GER,GK,27,26,26,2340,26,39,1.5,109,69,67,9,8,9,7,26.9,5,3,1,25,
2022-2023,Bundesliga,Mainz 05,Finn Dahmen,de GER,GK,24,8,8,720,8,16,2,44,26,65.9,3,2,3,0,0,3,1,2,66.7,
2022-2023,Bundesliga,M'Gladbach,Jonas Omlin,ch SUI,GK,28,15,15,1290,14.3,18,1.26,56,38,71.4,5,4,6,5,33.3,2,2,0,0,
2022-2023,Bundesliga,M'Gladbach,Yann Sommer,ch SUI,GK,33,10,10,900,10,14,1.4,60,47,80,4,4,2,3,30,2,2,0,0,
2022-2023,Bundesliga,M'Gladbach,Tobias Sippel,de GER,GK,34,6,5,510,5.7,12,2.12,33,21,66.7,1,1,3,1,20,1,1,0,0,
2022-2023,Bundesliga,M'Gladbach,Jan Olschowsky,de GER,GK,20,4,4,360,4,11,2.75,31,20,67.7,1,1,2,0,0,1,1,0,0,
2022-2023,Bundesliga,Köln,Marvin Schwäbe,de GER,GK,27,34,34,3060,34,54,1.59,129,77,61.2,10,12,12,6,17.6,5,4,1,20,
2022-2023,Bundesliga,Hoffenheim,Oliver Baumann,de GER,GK,32,34,34,3060,34,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,0,
2022-2023,Bundesliga,Werder Bremen,Jiří Pavlenka,cz CZE,GK,30,33,33,2908,32.3,61,1.89,170,110,65.3,10,5,18,4,12.1,3,2,1,33.3,
2022-2023,Bundesliga,Werder Bremen,Michael Zetterer,de GER,GK,27,2,1,152,1.7,3,1.78,14,11,78.6,0,1,0,0,0,0,0,0,,
2022-2023,Bundesliga,Bochum,Manuel Riemann,de GER,GK,33,34,34,3060,34,72,2.12,200,128,68,10,5,19,5,14.7,14,8,3,27.3,
2022-2023,Bundesliga,Augsburg,Rafał Gikiewicz,pl POL,GK,34,23,23,2070,23,41,1.78,136,93,70.6,8,3,12,5,21.7,4,1,2,66.7,
2022-2023,Bundesliga,Augsburg,Tomáš Koubek,cz CZE,GK,29,11,11,990,11,22,2,65,45,66.2,1,4,6,1,9.1,0,0,0,,
2022-2023,Bundesliga,Stuttgart,Florian Müller,de GER,GK,24,19,19,1710,19,34,1.79,87,53,62.1,3,7,9,1,5.3,1,1,0,0,
2022-2023,Bundesliga,Stuttgart,Fabian Bredlow,de GER,GK,27,15,15,1350,15,23,1.53,59,37,69.5,4,5,6,1,6.7,5,5,0,0,
2022-2023,Bundesliga,Schalke 04,Alexander Schwolow,de GER,GK,30,23,22,2035,22.6,58,2.57,138,80,60.9,4,4,14,2,9.1,4,4,0,0,
2022-2023,Bundesliga,Schalke 04,Ralf Fährmann,de GER,GK,33,12,12,1025,11.4,13,1.14,55,43,78.2,3,6,3,5,41.7,2,1,0,0,
2022-2023,Bundesliga,Hertha BSC,Oliver Christensen,dk DEN,GK,23,33,33,2970,33,68,2.06,163,94,61.3,6,8,19,3,9.1,6,5,1,16.7,
2022-2023,Bundesliga,Hertha BSC,Tjark Ernst,de GER,GK,19,1,1,90,1,1,1,7,6,85.7,1,0,0,0,0,0,0,0,,
2022-2023,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,30,38,38,3347,37.2,18,0.48,98,83,84.7,28,4,6,26,68.4,3,3,0,0,
2022-2023,LaLiga,Barcelona,Iñaki Peña,es ESP,GK,23,2,0,73,0.8,2,2.47,4,2,50,0,0,0,0,,0,0,0,,
2022-2023,LaLiga,Real Madrid,Thibaut Courtois,be BEL,GK,30,31,31,2790,31,29,0.94,118,88,78.8,20,5,6,10,32.3,5,4,1,20,
2022-2023,LaLiga,Real Madrid,Andriy Lunin,ua UKR,GK,23,7,7,630,7,7,1,18,12,61.1,4,1,2,3,42.9,0,0,0,,
2022-2023,LaLiga,Atlético Madrid,Jan Oblak,si SVN,GK,29,28,28,2492,27.7,20,0.72,79,59,75.9,17,5,6,11,39.3,2,1,0,0,
2022-2023,LaLiga,Atlético Madrid,Ivo Grbić,hr CRO,GK,26,12,10,922,10.2,12,1.17,48,36,81.3,6,3,1,2,20,3,3,0,0,
2022-2023,LaLiga,Atlético Madrid,Antonio Gomis,es ESP,GK,19,1,0,6,0.1,1,15,1,0,0,0,0,0,0,,0,0,0,,
2022-2023,LaLiga,Real Sociedad,Álex Remiro,es ESP,GK,27,38,38,3420,38,35,0.92,133,99,74.4,21,8,9,15,39.5,2,1,1,50,
2022-2023,LaLiga,Villarreal,Pepe Reina,es ESP,GK,39,22,22,1980,22,27,1.23,87,61,73.6,13,3,6,5,22.7,4,4,0,0,
2022-2023,LaLiga,Villarreal,Gerónimo Rulli,ar ARG,GK,30,14,14,1260,14,10,0.71,56,46,82.1,6,3,5,7,50,0,0,0,,
2022-2023,LaLiga,Villarreal,Filip Jørgensen,dk DEN,GK,20,2,2,180,2,3,1.5,6,3,50,0,1,1,0,0,0,0,0,,
2022-2023,LaLiga,Betis,Rui Silva,pt POR,GK,28,26,26,2340,26,32,1.23,104,73,71.2,12,4,10,9,34.6,2,2,0,0,
2022-2023,LaLiga,Betis,Claudio Bravo,cl CHI,GK,39,12,12,1080,12,9,0.75,42,33,81,5,5,2,4,33.3,1,1,0,0,
2022-2023,LaLiga,Osasuna,Aitor Fernández,es ESP,GK,31,21,21,1890,21,19,0.9,77,59,75.3,10,5,6,8,38.1,0,0,0,,
2022-2023,LaLiga,Osasuna,Sergio Herrera,es ESP,GK,29,17,17,1530,17,23,1.35,71,48,69,5,3,9,3,17.6,4,1,1,50,
2022-2023,LaLiga,Athletic Club,Unai Simón,es ESP,GK,25,31,31,2745,30.5,37,1.21,104,70,67.3,13,6,12,9,29,3,3,0,0,
2022-2023,LaLiga,Athletic Club,Julen Agirrezabala,es ESP,GK,21,8,7,675,7.5,6,0.8,19,13,68.4,1,3,3,2,28.6,0,0,0,,
2022-2023,LaLiga,Mallorca,Predrag Rajković,rs SRB,GK,26,36,36,3240,36,40,1.11,133,92,74.4,13,8,15,12,33.3,7,6,1,14.3,
2022-2023,LaLiga,Mallorca,Dominik Greif,sk SVK,GK,25,1,1,90,1,3,3,8,5,62.5,0,0,1,0,0,0,0,0,,
2022-2023,LaLiga,Mallorca,Leonardo Román,es ESP,GK,22,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,,
2022-2023,LaLiga,Girona,Paulo Gazzaniga,ar ARG,GK,30,28,28,2520,28,37,1.32,125,87,73.6,11,8,9,4,14.3,6,4,1,20,
2022-2023,LaLiga,Girona,Juan Carlos,es ESP,GK,34,10,10,900,10,18,1.8,43,25,62.8,2,2,6,0,0,2,2,0,0,
2022-2023,LaLiga,Rayo Vallecano,Stole Dimitrievski,mk MKD,GK,28,37,37,3324,36.9,49,1.33,139,94,67.6,13,10,14,9,24.3,5,4,0,0,
2022-2023,LaLiga,Rayo Vallecano,Diego López,es ESP,GK,40,2,1,96,1.1,4,3.75,5,1,20,0,0,1,0,0,0,0,0,,
2022-2023,LaLiga,Sevilla,Yassine Bounou,ma MAR,GK,31,25,25,2151,23.9,41,1.72,106,66,63.2,7,6,12,4,16,3,2,1,33.3,
2022-2023,LaLiga,Sevilla,Marko Dmitrović,rs SRB,GK,30,15,13,1269,14.1,13,0.92,55,43,76.4,6,4,3,5,38.5,0,0,0,,
2022-2023,LaLiga,Celta Vigo,Agustín Marchesín,ar ARG,GK,34,19,19,1710,19,29,1.53,72,42,62.5,5,5,9,6,31.6,4,2,2,50,
2022-2023,LaLiga,Celta Vigo,Iván Villar,es ESP,GK,25,19,19,1710,19,24,1.26,62,38,66.1,6,5,8,4,21.1,4,3,0,0,
2022-2023,LaLiga,Cádiz,Jeremías Ledesma,ar ARG,GK,29,34,34,3060,34,48,1.41,179,130,77.7,9,11,14,12,35.3,9,8,1,11.1,
2022-2023,LaLiga,Cádiz,David Gil,es ESP,GK,28,4,4,360,4,5,1.25,23,18,82.6,1,1,2,1,25,1,1,0,0,
2022-2023,LaLiga,Getafe,David Soria,es ESP,GK,29,38,38,3420,38,45,1.18,166,119,75.3,10,12,16,13,34.2,8,4,4,50,
2022-2023,LaLiga,Valencia,Giorgi Mamardashvili,ge GEO,GK,21,38,38,3420,38,45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,0,
2022-2023,LaLiga,Almería,Fernando,es ESP,GK,32,37,37,3285,36.5,61,1.67,193,132,70.5,11,8,18,4,10.8,6,4,1,20,
2022-2023,LaLiga,Almería,Fernando Pacheco,es ESP,GK,30,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,,
2022-2023,LaLiga,Almería,Diego Mariño,es ESP,GK,32,1,0,45,0.5,2,4,5,3,60,0,0,0,0,,0,0,0,,
2022-2023,LaLiga,Valladolid,Jordi Masip,es ESP,GK,33,28,28,2507,27.9,42,1.51,145,101,74.5,9,5,14,8,28.6,9,5,3,37.5,
2022-2023,LaLiga,Valladolid,Sergio Asenjo,es ESP,GK,33,10,10,900,10,21,2.1,51,30,60.8,2,2,6,1,10,1,1,0,0,
2022-2023,LaLiga,Valladolid,Álvaro Aceves,es ESP,GK,19,1,0,13,0.1,0,0,3,3,100,0,0,0,0,,0,0,0,,
2022-2023,LaLiga,Espanyol,Fernando Pacheco,es ESP,GK,30,16,16,1440,16,33,2.06,88,54,67,4,3,9,3,18.8,5,4,1,20,
2022-2023,LaLiga,Espanyol,Álvaro Fernández,es ESP,GK,24,11,11,990,11,18,1.64,50,33,64,3,4,4,2,18.2,0,0,0,,
2022-2023,LaLiga,Espanyol,Benjamin Lecomte,fr FRA,GK,31,10,10,899,10,14,1.4,40,27,65,1,5,4,1,10,0,0,0,,
2022-2023,LaLiga,Espanyol,Joan García,es ESP,GK,21,1,1,90,1,3,3,4,1,50,0,1,0,0,0,1,1,0,0,
2022-2023,LaLiga,Elche,Édgar Badía,es ESP,GK,30,36,36,3240,36,63,1.75,200,136,72,5,10,21,4,11.1,10,7,3,30,
2022-2023,LaLiga,Elche,Axel Werner,ar ARG,GK,26,2,2,180,2,4,2,8,4,50,0,0,2,0,0,0,0,0,,
2022-2023,Ligue1,Paris S-G,Gianluigi Donnarumma,it ITA,GK,23,38,38,3409,37.9,40,1.06,160,120,76.3,27,4,7,13,34.2,5,2,1,33.3,
2022-2023,Ligue1,Paris S-G,Alexandre Letellier,fr FRA,GK,31,1,0,11,0.1,0,0,0,0,,0,0,0,0,,0,0,0,,
2022-2023,Ligue1,Lens,Brice Samba,fr FRA,GK,28,37,37,3330,37,28,0.76,125,98,80,24,9,4,15,40.5,3,3,0,0,
2022-2023,Ligue1,Lens,Jean-Louis Leca,fr FRA,GK,36,1,1,90,1,1,1,4,3,75,1,0,0,0,0,0,0,0,,
2022-2023,Ligue1,Marseille,Pau López,es ESP,GK,27,33,32,2925,32.5,34,1.05,123,90,76.4,21,4,7,10,31.3,5,5,0,0,
2022-2023,Ligue1,Marseille,Rubén Blanco,es ESP,GK,27,6,6,495,5.5,6,1.09,19,15,68.4,1,3,2,0,0,0,0,0,,
2022-2023,Ligue1,Rennes,Steve Mandanda,fr FRA,GK,37,34,34,3014,33.5,31,0.93,110,79,73.6,19,5,10,12,35.3,3,2,1,33.3,
2022-2023,Ligue1,Rennes,Doğan Alemdar,tr TUR,GK,19,6,4,406,4.5,8,1.77,16,7,56.3,2,0,2,1,25,2,1,1,50,
2022-2023,Ligue1,Lille,Lucas Chevalier,fr FRA,GK,20,32,32,2880,32,31,0.97,105,76,72.4,16,9,7,10,31.3,3,2,1,33.3,
2022-2023,Ligue1,Lille,Léo Jardim,br BRA,GK,27,6,6,540,6,13,2.17,17,4,35.3,3,1,2,0,0,2,2,0,0,
2022-2023,Ligue1,Monaco,Alexander Nübel,de GER,GK,25,38,38,3420,38,58,1.53,195,140,72.8,19,8,11,9,23.7,5,5,0,0,
2022-2023,Ligue1,Lyon,Anthony Lopes,pt POR,GK,31,32,32,2816,31.3,39,1.25,131,94,75.6,16,4,12,7,21.9,7,7,0,0,
2022-2023,Ligue1,Lyon,Rémy Riou,fr FRA,GK,34,7,6,601,6.7,8,1.2,24,17,83.3,2,4,0,1,16.7,4,4,0,0,
2022-2023,Ligue1,Clermont Foot,Mory Diaw,sn SEN,GK,29,37,37,3330,37,47,1.27,161,110,75.8,17,8,12,10,27,12,8,4,33.3,
2022-2023,Ligue1,Clermont Foot,Ouparine Djoco,gw GNB,GK,24,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,,
2022-2023,Ligue1,Nice,Kasper Schmeichel,dk DEN,GK,35,36,36,3240,36,35,0.97,141,105,77.3,15,12,9,11,30.6,5,3,1,25,
2022-2023,Ligue1,Nice,Marcin Bułka,pl POL,GK,22,2,2,180,2,2,1,6,4,66.7,0,1,1,0,0,0,0,0,,
2022-2023,Ligue1,Lorient,Yvon Mvogo,ch SUI,GK,28,21,21,1812,20.1,29,1.44,98,70,71.4,11,4,6,3,14.3,1,1,0,0,
2022-2023,Ligue1,Lorient,Vito Mannone,it ITA,GK,34,18,17,1608,17.9,24,1.34,84,60,72.6,4,6,7,5,29.4,1,1,0,0,
2022-2023,Ligue1,Reims,Yehvann Diouf,fr FRA,GK,22,31,31,2790,31,31,1,137,107,78.1,11,12,8,14,45.2,1,1,0,0,
2022-2023,Ligue1,Reims,Patrick Pentz,at AUT,GK,25,7,7,630,7,14,2,29,16,58.6,1,3,3,0,0,2,2,0,0,
2022-2023,Ligue1,Montpellier,Benjamin Lecomte,fr FRA,GK,31,19,19,1710,19,22,1.16,96,72,79.2,10,3,6,8,42.1,4,2,2,50,
2022-2023,Ligue1,Montpellier,Jonas Omlin,ch SUI,GK,28,14,14,1166,13,26,2.01,73,48,68.5,5,1,8,2,14.3,4,3,1,25,
2022-2023,Ligue1,Montpellier,Bingourou Kamara,sn SEN,GK,25,5,4,408,4.5,11,2.43,25,13,60,0,1,3,0,0,3,1,1,50,
2022-2023,Ligue1,Montpellier,Matis Carvalho,pt POR,GK,23,2,1,136,1.5,3,1.99,8,5,62.5,0,0,1,1,100,0,0,0,,
2022-2023,Ligue1,Toulouse,Maxime Dupé,fr FRA,GK,29,38,38,3420,38,57,1.5,179,122,70.4,13,9,16,9,23.7,7,4,3,42.9,
2022-2023,Ligue1,Brest,Marco Bizot,nl NED,GK,31,37,37,3330,37,54,1.46,176,122,73.3,11,10,16,8,21.6,9,7,2,22.2,
2022-2023,Ligue1,Brest,Joaquín Blázquez,ar ARG,GK,21,1,1,90,1,0,0,3,3,100,0,1,0,1,100,0,0,0,,
2022-2023,Ligue1,Strasbourg,Matz Sels,be BEL,GK,30,38,38,3420,38,59,1.55,174,115,71.8,9,13,16,6,15.8,11,10,0,0,
2022-2023,Ligue1,Nantes,Alban Lafont,fr FRA,GK,23,37,37,3329,37,54,1.46,179,129,74.9,7,14,16,11,29.7,9,9,0,0,
2022-2023,Ligue1,Nantes,Rémy Descamps,fr FRA,GK,26,1,1,90,1,1,1,6,5,83.3,0,1,0,0,0,0,0,0,,
2022-2023,Ligue1,Auxerre,Benoît Costil,fr FRA,GK,35,19,19,1710,19,41,2.16,96,55,60.4,3,4,12,2,10.5,3,3,0,0,
2022-2023,Ligue1,Auxerre,Ionuț Radu,ro ROU,GK,25,17,17,1530,17,20,1.18,74,53,73,4,6,7,5,29.4,2,0,2,100,
2022-2023,Ligue1,Auxerre,Donovan Léon,gf GUF,GK,29,2,2,180,2,2,1,11,9,90.9,1,1,0,0,0,1,1,0,0,
2022-2023,Ligue1,Ajaccio,Benjamin Leroy,fr FRA,GK,33,32,32,2798,31.1,60,1.93,133,74,60.9,6,4,22,4,12.5,9,8,0,0,
2022-2023,Ligue1,Ajaccio,François-Joseph Sollacaro,fr FRA,GK,28,6,6,540,6,14,2.33,24,11,45.8,1,1,4,1,16.7,1,1,0,0,
