Total_Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_mid_3rd,Tackles_Att_3rd,Drib_Tackled,Drib_Tackle_Lost,Total_Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Clearance,Errors_to_shot,Key
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_freddieladapo
1,0,0,1,0,0,0,1,0,1,0,1,0,2017-2018_sullaykaikai
0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_papesouare
0,0,0,0,0,0,2,0,0,0,2,16,7,2017-2018_asmirbegovic
53,32,34,16,3,22,18,47,24,23,48,246,2,2017-2018_nathanake
48,34,32,12,4,22,19,34,7,27,31,114,0,2017-2018_charliedaniels
37,19,28,7,2,19,10,63,45,18,54,232,4,2017-2018_stevecook
49,34,26,16,7,24,19,29,18,11,49,194,4,2017-2018_simonfrancis
36,26,11,17,8,4,23,23,3,20,4,14,1,2017-2018_joshuaking
67,35,37,30,0,26,43,33,12,21,35,25,2,2017-2018_lewiscook
11,8,7,2,2,7,13,20,4,16,17,34,0,2017-2018_ryanfraser
9,5,2,6,1,1,13,15,3,12,3,15,0,2017-2018_callumwilson
50,36,33,16,1,24,29,46,8,38,31,73,0,2017-2018_adamsmith
14,12,7,5,2,6,16,5,0,5,10,11,0,2017-2018_jordonibe
50,25,19,26,5,19,49,36,8,28,25,35,0,2017-2018_dangosling
16,12,5,8,3,6,17,33,12,21,16,52,2,2017-2018_andrewsurman
16,8,8,4,4,7,8,21,6,15,6,15,0,2017-2018_juniorstanislas
12,9,2,6,4,2,8,10,0,10,4,1,0,2017-2018_jermaindefoe
7,3,2,4,1,2,8,6,1,5,13,13,2,2017-2018_marcpugh
19,16,10,7,2,6,17,18,5,13,9,6,0,2017-2018_harryarter
4,3,1,2,1,1,5,4,0,4,0,6,0,2017-2018_benikafobe
9,5,6,3,0,0,8,5,2,3,3,9,0,2017-2018_lysmousset
1,1,1,0,0,0,0,2,2,0,6,13,1,2017-2018_tyronemings
1,1,1,0,0,0,1,1,0,1,0,4,0,2017-2018_jacksimpson
0,0,0,0,0,0,1,2,0,2,1,1,0,2017-2018_emersonhyndman
96,67,54,28,14,48,50,72,13,59,61,152,0,2017-2018_pablozabaleta
34,21,12,20,2,19,11,42,17,25,44,117,1,2017-2018_aaroncresswell
30,24,18,10,2,8,10,40,27,13,58,197,1,2017-2018_angeloogbonna
71,49,43,26,2,23,39,31,11,20,32,56,1,2017-2018_cheikhoukouyate
61,36,32,22,7,16,60,28,10,18,47,32,1,2017-2018_marknoble
21,16,9,8,4,7,12,20,3,17,13,35,0,2017-2018_markoarnautovic
20,11,6,11,3,2,32,7,1,6,30,5,2,2017-2018_manuellanzini
58,37,36,16,6,25,33,25,2,23,26,38,1,2017-2018_arthurmasuaku
2,1,2,0,0,1,3,1,0,1,0,15,1,2017-2018_adrian
1,1,1,0,0,1,1,1,0,1,0,2,4,2017-2018_joehart
53,34,20,29,4,17,34,37,16,21,24,27,1,2017-2018_pedroobiang
11,9,7,4,0,4,11,27,14,13,22,104,0,2017-2018_winstonreid
11,7,2,7,2,3,11,6,1,5,6,1,0,2017-2018_javierhernandez
15,9,7,6,2,4,10,14,0,14,13,16,0,2017-2018_michailantonio
36,24,25,10,1,15,10,19,13,6,27,77,1,2017-2018_declanrice
15,9,11,4,0,8,3,13,10,3,16,120,1,2017-2018_jamescollins
14,11,6,5,3,6,13,7,0,7,8,4,1,2017-2018_joaomario
19,14,6,10,3,6,13,5,0,5,4,3,0,2017-2018_andreayew
17,9,10,7,0,9,12,13,1,12,16,8,0,2017-2018_edimilsonfernandes
11,6,5,6,0,2,4,12,9,3,14,37,1,2017-2018_josefonte
3,3,2,0,1,0,1,3,2,1,2,15,0,2017-2018_andycarroll
6,4,5,1,0,6,2,4,1,3,7,6,0,2017-2018_patriceevra
