SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Key
42,3.17,27,0,3,4,8,0,5,0.38,4,0,0,0,1,0,2017-2018_dannywelbeck
49,3.7,35,0,5,1,7,1,5,0.38,4,0,1,0,0,0,2017-2018_jackwilshere
30,2.55,21,0,4,4,1,0,8,0.68,5,0,1,1,1,0,2017-2018_pierre-emerickaubameyang
25,2.6,22,0,0,2,1,0,1,0.1,1,0,0,0,0,0,2017-2018_mohamedelneny
9,0.94,6,1,1,0,0,1,1,0.1,1,0,0,0,0,0,2017-2018_calumchambers
5,0.55,5,0,0,0,0,0,1,0.11,1,0,0,0,0,0,2017-2018_robholding
29,3.29,22,1,0,4,2,0,4,0.45,4,0,0,0,0,0,2017-2018_henrikhmkhitaryan
18,1.77,14,0,4,0,0,0,0,0,0,0,0,0,0,0,2017-2018_ainsleymaitland-niles
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_davidospina
1,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_permertesacker
13,4.85,9,1,1,1,0,1,0,0,0,0,0,0,0,0,2017-2018_alexoxlade-chamberlain
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_konstantinosmavropanos
4,2.48,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2017-2018_reissnelson
14,3.25,11,0,1,2,0,0,0,0,0,0,0,0,0,0,2017-2018_oliviergiroud
2,1.13,2,0,0,0,0,0,1,0.57,1,0,0,0,0,0,2017-2018_franciscoquelin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_joewillock
1,1.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_theowalcott
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_eddienketiah
67,1.76,53,2,2,3,5,2,5,0.13,4,0,0,1,0,0,2017-2018_jackcork
11,0.32,8,3,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_nickpope
117,3.72,53,42,9,7,6,0,9,0.29,5,2,0,2,0,0,2017-2018_johannberggumundsson
23,0.74,20,0,1,2,0,0,3,0.1,2,0,0,1,0,0,2017-2018_jamestarkowski
26,0.9,22,0,0,3,1,0,1,0.03,1,0,0,0,0,0,2017-2018_benmee
51,1.97,38,0,5,3,4,1,3,0.12,1,0,1,1,0,0,2017-2018_jeffhendrick
24,0.88,19,1,2,0,2,0,2,0.07,1,0,1,0,0,0,2017-2018_stephenward
34,1.33,25,3,0,1,4,1,5,0.2,5,0,0,0,0,0,2017-2018_matthewlowton
45,2.03,40,0,1,4,0,0,3,0.14,3,0,0,0,0,0,2017-2018_stevendefour
51,2.12,34,0,4,2,11,0,7,0.29,5,0,1,0,1,0,2017-2018_ashleybarnes
29,1.61,21,0,3,2,3,0,3,0.17,1,0,0,2,0,0,2017-2018_chriswood
10,0.62,8,0,0,1,0,1,3,0.19,3,0,0,0,0,0,2017-2018_kevinlong
22,1.49,14,0,3,3,2,0,3,0.2,1,0,1,0,1,0,2017-2018_scottarfield
59,4.16,19,30,3,4,2,1,5,0.35,3,1,0,1,0,0,2017-2018_robbiebrady
14,1.12,12,2,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_philbardsley
22,1.77,13,0,1,5,2,1,3,0.24,2,0,0,1,0,0,2017-2018_aaronlennon
17,1.38,14,2,0,1,0,0,2,0.16,0,1,0,1,0,0,2017-2018_ashleywestwood
13,1.23,10,1,1,0,1,0,0,0,0,0,0,0,0,0,2017-2018_charlietaylor
20,1.8,14,0,0,2,4,0,1,0.09,0,0,0,1,0,0,2017-2018_samvokes
2,0.59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_tomheaton
6,2.37,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2017-2018_georges-kevinnkoudou
1,1.64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017-2018_nahkiwells
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_jonathanwalters
,,,,,,,,,,,,,,,,2017-2018_aidenoneill
6,0.16,3,2,0,1,0,0,0,0,0,0,0,0,0,0,2017-2018_jordanpickford
49,1.6,40,0,2,0,3,4,3,0.1,1,0,0,0,0,2,2017-2018_idrissaganagueye
15,0.53,13,0,0,1,1,0,0,0,0,0,0,0,0,0,2017-2018_michaelkeane
65,2.58,46,13,0,4,0,2,8,0.32,5,1,0,2,0,0,2017-2018_waynerooney
78,3.11,42,25,6,2,2,1,7,0.28,4,2,1,0,0,0,2017-2018_gylfisigursson
21,0.89,19,0,0,0,1,1,0,0,0,0,0,0,0,0,2017-2018_morganschneiderlin
10,0.44,8,0,0,1,0,1,1,0.04,1,0,0,0,0,0,2017-2018_philjagielka
46,2.17,35,9,1,0,1,0,4,0.19,2,1,1,0,0,0,2017-2018_leightonbaines
34,1.61,25,3,1,2,3,0,6,0.28,5,0,0,1,0,0,2017-2018_tomdavies
