Touches,TouchesDef Pen,TouchesDef 3rd,TouchesMid 3rd,TouchesAtt 3rd,TouchesAtt Pen,TouchesLive,DribblesAtt,DribbleSucc,DribbleSucc%,DribbleTkld,Carries,TotDist,ProgressivegDist,ProgressiveCarries,ProgressiveFinalThird,CarriesPenArea,Miscontrolled,Dispossed,Recievd ,ProgressiveReceive,Key
118,3,11,43,65,20,118,4,1,25,3,69,246,66,2,2,1,11,6,87,23,2017-2018_dannyings
159,2,23,75,61,5,159,2,0,0,2,67,289,111,5,1,0,4,2,90,29,2017-2018_nathanielclyne
261,1,20,121,123,19,261,7,6,85.7,1,180,906,393,12,8,2,10,10,220,38,2017-2018_adamlallana
15,0,1,14,2,0,15,0,0,,0,7,50,33,0,0,0,0,1,9,0,2017-2018_markogrujic
4,0,0,4,0,0,4,0,0,,0,3,13,0,0,0,0,2,0,3,0,2017-2018_divockorigi
8,0,0,3,5,1,8,0,0,,0,6,15,5,0,2,0,0,0,8,2,2017-2018_benwoodburn
3278,218,1198,1596,494,25,3278,9,6,66.7,3,1959,8806,5822,61,61,3,17,7,2273,81,2017-2018_cesarazpilicueta
1250,1140,1246,4,0,0,1250,0,0,,0,635,4072,2260,0,0,0,1,0,615,0,2017-2018_thibautcourtois
2523,45,485,1532,551,17,2523,57,47,82.5,10,1640,9568,5272,88,85,2,44,42,1758,45,2017-2018_ngolokante
2084,82,566,784,748,96,2084,33,17,51.5,16,1072,6123,3378,78,50,10,42,24,1258,261,2017-2018_marcosalonso
1702,1,76,631,1042,162,1700,200,165,82.5,35,1300,10444,5375,201,121,70,65,77,1471,302,2017-2018_edenhazard
1990,123,842,1061,97,20,1990,10,8,80,2,1298,6974,4393,33,23,2,14,17,1404,7,2017-2018_antoniorudiger
2553,51,401,1288,887,66,2553,24,18,75,6,1481,5986,3227,55,53,6,21,24,1854,135,2017-2018_cescfabregas
1373,53,372,452,568,80,1373,55,32,58.2,23,693,4127,2677,95,31,26,20,20,788,203,2017-2018_victormoses
1392,53,275,827,318,45,1392,50,36,72,14,823,4326,2155,39,35,2,40,27,957,57,2017-2018_tiemouebakayoko
1585,142,773,751,68,13,1585,4,4,100,0,931,5001,2766,17,15,1,8,3,1033,8,2017-2018_garycahill
873,25,36,362,489,147,873,59,32,54.2,27,570,3210,1311,54,35,37,75,62,750,228,2017-2018_alvaromorata
1589,150,768,790,41,22,1589,5,5,100,0,982,4823,2811,22,12,1,9,1,1073,2,2017-2018_andreaschristensen
1287,11,114,439,762,94,1286,98,67,68.4,31,863,6862,3261,108,69,33,57,34,979,210,2017-2018_willian
890,8,104,387,415,53,890,51,33,64.7,18,599,4237,2077,66,45,18,39,26,694,135,2017-2018_pedro
832,20,227,254,363,45,832,37,14,37.8,23,468,3127,1658,64,29,16,21,18,512,124,2017-2018_davidezappacosta
605,56,300,287,29,3,605,5,3,60,2,399,2540,1505,19,6,0,7,4,396,4,2017-2018_davidluiz
