GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches,Key
16,1.03,44,29,68.2,11,2,3,7,43.8,2,2,0,0,,2020-2021_marwinhitz
33,1.03,108,74,72.2,17,9,6,14,43.8,5,3,2,40,,2020-2021_koencasteels
4,2,14,10,71.4,0,1,1,0,0,0,0,0,,,2020-2021_pavaopervan
52,1.58,150,99,68,15,12,6,4,12.1,6,4,1,20,,2020-2021_kevintrapp
1,1,6,5,83.3,1,0,0,0,0,0,0,0,,,2020-2021_eliasbordner
29,1.02,83,55,66.3,13,9,7,8,27.6,2,1,1,50,,2020-2021_lukashradecky
7,1.75,21,14,66.7,1,0,3,1,25,0,0,0,,,2020-2021_lennartgrill
3,2,8,5,62.5,0,1,0,0,0,0,0,0,,,2020-2021_niklaslomb
42,1.37,132,89,71.2,11,12,8,5,16.1,5,4,1,20,,2020-2021_andreasluthe
1,0.31,4,4,75,1,2,0,2,66.7,0,0,0,,,2020-2021_loriskarius
50,1.66,132,82,66.7,12,9,10,6,19.4,6,6,0,0,,2020-2021_yannsommer
6,1.57,19,13,68.4,1,1,1,1,33.3,0,0,0,,,2020-2021_tobiassippel
54,1.64,157,102,68.8,11,9,13,5,15.2,7,5,2,28.6,,2020-2021_gregorkobel
1,1,9,8,88.9,1,0,0,0,0,0,0,0,,,2020-2021_fabianbredlow
46,1.48,157,112,72,11,8,12,6,19.4,3,2,1,33.3,,2020-2021_florianmuller
6,2,18,12,77.8,1,1,1,0,0,3,2,0,0,,2020-2021_markflekken
51,1.65,132,81,65.9,10,8,13,6,19.4,9,6,2,25,,2020-2021_oliverbaumann
3,1,13,10,76.9,1,2,0,0,0,0,0,0,,,2020-2021_philipppentke
46,1.48,142,97,71.1,9,9,13,5,16.1,6,5,0,0,,2020-2021_robinzentner
10,3.33,20,10,55,1,0,2,0,0,1,1,0,0,,2020-2021_finndahmen
54,1.59,178,126,73,10,6,18,7,20.6,9,6,1,14.3,,2020-2021_rafagikiewicz
39,1.5,108,69,69.4,6,10,10,8,30.8,6,6,0,0,,2020-2021_alexanderschwolow
13,1.62,33,20,63.6,2,1,5,1,12.5,2,1,1,50,,2020-2021_runejarstein
52,1.53,170,118,72.4,9,8,17,11,32.4,6,5,1,16.7,,2020-2021_stefanortega
59,1.76,155,95,66.5,8,9,17,5,14.7,8,7,1,12.5,,2020-2021_timohorn
1,1.76,3,2,100,0,0,0,0,,1,1,0,0,,2020-2021_ron-robertzieler
57,1.68,157,101,66.2,7,10,17,6,17.6,6,4,2,33.3,,2020-2021_jiripavlenka
50,2.4,143,94,67.1,3,3,16,3,13.6,4,3,1,25,,2020-2021_ralffahrmann
24,2.29,67,45,70.1,0,4,6,1,10,4,4,0,0,,2020-2021_frederikrnnow
12,4.52,24,13,50,0,0,2,0,0,0,0,0,,,2020-2021_michaellanger
25,0.66,122,98,80.3,26,8,4,18,47.4,4,1,2,66.7,,2020-2021_janoblak
28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,12.5,,2020-2021_thibautcourtois
32,1.03,106,76,72.6,21,5,5,11,35.5,3,3,0,0,,2020-2021_marc-andreterstegen
6,0.86,24,18,83.3,3,2,2,3,42.9,2,2,0,0,,2020-2021_neto
28,0.85,106,78,77.4,21,5,7,15,45.5,6,4,2,33.3,,2020-2021_yassinebounou
5,1,14,9,64.3,3,0,2,2,40,0,0,0,,,2020-2021_tomasvaclik
38,1,105,67,66.7,17,11,10,14,36.8,5,3,1,25,,2020-2021_alexremiro
25,1.25,75,50,72,8,8,4,7,35,5,4,1,20,,2020-2021_claudiobravo
25,1.39,61,37,65.6,9,2,7,6,33.3,5,4,1,20,,2020-2021_joelrobles
40,1.11,118,79,72,15,13,8,10,27.8,9,7,1,12.5,,2020-2021_sergioasenjo
4,2,8,4,50,0,0,2,0,0,0,0,0,,,2020-2021_geronimorulli
30,1.52,77,47,68.8,7,5,7,5,26.3,7,6,1,14.3,,2020-2021_ivanvillar
27,1.48,61,34,57.4,7,6,6,4,21.1,1,1,0,0,,2020-2021_rubenblanco
55,1.72,137,79,63.5,12,6,14,8,25,10,5,4,44.4,,2020-2021_ruisilva
8,1.6,24,16,66.7,1,1,3,1,20,0,0,0,,,2020-2021_aaronescandell
2,2,9,6,88.9,0,0,1,0,0,2,1,1,50,,2020-2021_angel
40,1.08,108,68,67.6,11,13,13,9,24.3,6,5,1,16.7,,2020-2021_unaisimon
2,2,3,1,33.3,0,0,1,0,0,0,0,0,,,2020-2021_jokinezkieta
40,1.22,126,86,71.4,10,8,14,10,31.3,7,4,2,33.3,,2020-2021_sergioherrera
3,1,8,5,75,1,1,1,1,33.3,1,1,0,0,,2020-2021_juanperez
5,2.41,8,3,37.5,0,2,1,0,0,0,0,0,,,2020-2021_ruben
45,1.41,127,82,70.9,10,10,12,9,28.1,9,8,1,11.1,,2020-2021_jeremiasledesma
10,2.5,17,7,47.1,0,1,3,0,0,1,1,0,0,,2020-2021_davidgil
3,1.5,6,2,50,1,0,1,1,50,0,0,0,,,2020-2021_albertocifuentes
42,1.5,130,88,70.8,5,12,11,4,14.3,6,4,2,33.3,,2020-2021_jaumedomenech
11,1.1,45,33,77.8,5,1,4,3,30,2,1,1,50,,2020-2021_jaspercillessen
44,1.52,120,78,65.8,8,11,10,3,10.3,3,3,0,0,,2020-2021_aitorfernandez
11,1.37,39,28,71.8,1,3,4,1,12.5,1,0,0,,,2020-2021_cardenas
2,2,4,2,50,0,0,1,0,0,0,0,0,,,2020-2021_kokevegas
31,1.11,81,52,69.1,6,8,14,10,35.7,7,6,1,14.3,,2020-2021_davidsoria
12,1.2,30,18,63.3,3,3,4,4,40,1,1,0,0,,2020-2021_rubenyanez
57,1.53,141,84,61.7,9,11,17,9,24.3,3,3,0,0,,2020-2021_fernandopacheco
,,1,1,,,,1,,,,,,,,2020-2021_antoniosivera
46,1.53,141,92,70.9,5,11,14,5,16.7,9,5,3,37.5,,2020-2021_edgarbadia
9,1.13,22,14,63.6,3,1,4,2,25,1,1,0,0,,2020-2021_paulogazzaniga
32,1.45,95,64,68.4,5,5,12,5,22.7,2,2,0,0,,2020-2021_alvarofernandez
21,1.31,54,34,66.7,2,8,6,4,25,3,3,0,0,,2020-2021_andresfernandez
40,1.6,115,75,68.7,4,9,12,2,8,4,4,0,0,,2020-2021_jordimasip
17,1.31,46,29,67.4,1,7,5,1,7.7,3,2,0,0,,2020-2021_roberto
49,1.41,129,79,64.3,6,11,18,9,25.7,5,3,1,25,,2020-2021_markodmitrovic
3,0.9,6,3,50,0,1,2,0,0,0,0,0,,,2020-2021_yoel
23,0.61,107,85,79.4,24,11,3,21,55.3,2,1,1,50,,2020-2021_mikemaignan
18,0.64,92,73,81.5,21,3,5,14,48.3,2,1,1,50,,2020-2021_keylornavas
9,1,36,28,75,5,1,2,5,62.5,0,0,0,,,2020-2021_sergiorico
1,1,3,2,66.7,0,0,1,0,0,0,0,0,,,2020-2021_marcinbuka
27,0.96,68,42,64.7,18,5,5,13,46.4,3,3,0,0,,2020-2021_benjaminlecomte
14,1.56,33,19,63.6,5,1,3,2,22.2,2,2,0,0,,2020-2021_vitomannone
1,1,2,1,50,1,0,0,0,0,0,0,0,,,2020-2021_radosawmajecki
43,1.13,134,92,71.6,22,10,6,11,28.9,7,5,1,16.7,,2020-2021_anthonylopes
45,1.22,127,83,66.9,16,12,9,8,21.6,3,3,0,0,,2020-2021_stevemandanda
2,2,5,3,60,0,0,1,0,0,0,0,0,,,2020-2021_yohannpele
25,1.14,76,52,71.1,7,5,10,5,22.7,4,3,0,0,,2020-2021_alfredgomis
14,0.93,54,40,74.1,9,4,2,5,33.3,0,0,0,,,2020-2021_romainsalin
1,1,1,0,0,0,1,0,0,0,0,0,0,,,2020-2021_edouardmendy
51,1.39,136,88,69.9,15,12,10,8,21.6,10,10,0,0,,2020-2021_jean-louisleca
3,2.52,7,4,71.4,0,0,1,0,0,1,1,0,0,,2020-2021_wuilkerfarinez
51,1.72,155,106,74.2,10,10,11,2,6.5,11,11,0,0,,2020-2021_jonasomlin
11,1.33,42,31,76.2,4,2,1,3,42.9,1,1,0,0,,2020-2021_dimitrybertaud
53,1.39,176,123,73.9,15,7,16,9,23.7,7,7,0,0,,2020-2021_walterbenitez
38,1.12,127,89,77.2,12,10,12,8,23.5,10,9,1,10,,2020-2021_alexandreoukidja
10,2.49,23,13,69.6,0,1,3,0,0,3,3,0,0,,2020-2021_marc-aurelecaillard
42,1.45,100,60,62,8,9,12,9,31,4,4,0,0,,2020-2021_jessymoulin
8,1,28,19,78.6,4,1,3,3,37.5,4,2,1,33.3,,2020-2021_etiennegreen
4,4,4,0,0,0,0,1,0,0,1,0,0,,,2020-2021_stefanbajic
56,1.47,156,100,68.6,13,6,19,14,36.8,8,7,1,12.5,,2020-2021_benoitcostil
58,1.53,139,82,63.3,12,8,18,9,23.7,8,7,1,12.5,,2020-2021_paulbernardoni
49,1.34,162,112,72.2,9,15,13,10,27,7,4,2,33.3,,2020-2021_predragrajkovic
1,0.67,6,5,100,0,0,1,0,0,1,1,0,0,,2020-2021_yehvanndiouf
31,1.29,91,59,69.2,8,7,9,8,33.3,5,3,1,25,,2020-2021_eijikawashima
14,1.75,32,19,59.4,2,0,6,2,25,1,1,0,0,,2020-2021_bingouroukamara
13,2.17,26,13,57.7,1,2,3,0,0,2,2,0,0,,2020-2021_matzsels
43,1.87,111,68,64.9,6,4,13,3,13,5,4,0,0,,2020-2021_paulnardi
25,1.67,56,32,66.1,5,5,5,2,13.3,6,6,0,0,,2020-2021_matthieudreyer
62,1.77,169,108,68,10,7,18,6,17.1,10,8,1,11.1,,2020-2021_gautierlarsonneur
4,1.33,11,7,72.7,1,1,1,1,33.3,1,1,0,0,,2020-2021_sebastiencibois
55,1.45,168,113,73.2,9,13,16,5,13.2,12,10,1,9.1,,2020-2021_albanlafont
71,1.87,196,122,66.8,9,8,21,8,21.1,10,6,3,33.3,,2020-2021_baptistereynet
33,1.57,93,59,67.7,2,6,13,3,14.3,4,3,1,25,,2020-2021_anthonyracioppi
30,2.5,66,36,56.1,2,2,8,3,25,3,1,1,50,,2020-2021_saturninallagbe
10,2,31,22,77.4,0,1,4,0,0,3,3,0,0,,2020-2021_alfredgomis
33,0.92,110,76,73.6,27,7,3,14,37.8,6,4,2,33.3,,2020-2021_samirhandanovic
1,0.67,6,5,83.3,1,0,0,0,0,0,0,0,,,2020-2021_ionutradu
1,2,2,1,100,0,0,0,0,,1,1,0,0,,2020-2021_danielepadelli
38,1.03,126,88,71.4,24,6,7,14,37.8,4,2,1,33.3,,2020-2021_gianluigidonnarumma
3,3,7,4,71.4,0,1,0,0,0,1,1,0,0,,2020-2021_cipriantatarusanu
26,1.09,65,38,66.2,14,8,3,9,36,6,4,2,33.3,,2020-2021_pierluigigollini
21,1.5,47,25,57.4,9,1,3,2,15.4,2,1,1,50,,2020-2021_marcosportiello
32,1.08,98,66,71.4,16,8,6,5,16.7,6,4,2,33.3,,2020-2021_wojciechszczesny
5,0.62,21,15,85.7,7,1,0,3,37.5,3,2,1,33.3,,2020-2021_gianluigibuffon
1,3.91,2,1,50,0,0,0,0,,0,0,0,,,2020-2021_carlopinsoglio
29,1.32,81,53,66.7,13,5,4,6,27.3,2,2,0,0,,2020-2021_alexmeret
12,0.75,42,30,78.6,11,0,5,8,50,3,3,0,0,,2020-2021_davidospina
41,1.41,113,74,70.8,18,3,8,9,31,8,8,0,0,,2020-2021_pepereina
14,1.56,38,24,68.4,3,2,4,3,33.3,2,2,0,0,,2020-2021_thomasstrakosha
29,1.44,85,59,69.4,10,4,6,4,20,3,3,0,0,,2020-2021_paulopez
19,1.48,56,36,69.6,6,3,4,5,38.5,3,2,1,33.3,,2020-2021_antoniomirante
7,1.4,26,19,73.1,2,1,2,2,40,0,0,0,,,2020-2021_danielfuzato
56,1.51,185,129,71.9,17,10,10,7,18.9,5,4,1,20,,2020-2021_andreaconsigli
0,0,1,1,100,0,1,0,1,100,0,0,0,,,2020-2021_gianlucapegolo
54,1.46,173,118,72.8,14,7,16,6,16.2,9,7,2,22.2,,2020-2021_emilaudero
0,0,1,1,100,1,0,0,1,100,0,0,0,,,2020-2021_karloletica
42,1.24,131,91,72.5,11,9,14,7,20.6,7,6,0,0,,2020-2021_marcosilvestri
6,1.63,13,7,53.8,0,3,1,0,0,0,0,0,,,2020-2021_ivorpandur
0,0,1,1,100,0,0,0,0,,0,0,0,,,2020-2021_alessandroberardi
44,1.38,158,116,76.6,9,11,12,8,25,7,7,0,0,,2020-2021_mattiaperin
11,2.96,18,7,38.9,0,1,3,0,0,0,0,0,,,2020-2021_federicomarchetti
3,1.31,12,9,75,1,0,1,1,50,0,0,0,,,2020-2021_albertopaleari
46,1.64,147,100,72.1,10,5,13,4,14.3,7,5,2,28.6,,2020-2021_ukaszskorupski
9,1.5,27,18,70.4,0,5,1,1,16.7,1,1,0,0,,2020-2021_angelodacostajunior
10,2.5,19,10,52.6,0,1,3,0,0,1,1,0,0,,2020-2021_federicoravaglia
55,1.57,141,85,66.7,9,12,15,7,19.4,10,8,2,20,,2020-2021_bartomiejdragowski
4,1.32,11,7,63.6,0,1,1,2,100,1,0,1,100,,2020-2021_pietroterracciano
51,1.46,149,98,74.5,9,10,16,8,22.9,13,13,0,0,,2020-2021_juanmusso
5,2.5,6,1,16.7,1,0,1,0,0,0,0,0,,,2020-2021_nicolasandrade
2,2,4,2,75,0,0,1,0,0,1,1,0,0,,2020-2021_simonescuffet
0,0,0,0,,0,0,0,0,,0,0,0,,,2020-2021_manuelgasparini
55,1.9,131,75,62.6,6,10,13,4,13.8,7,6,1,14.3,,2020-2021_ivanprovedel
12,1.79,29,17,69,3,1,3,0,0,3,3,0,0,,2020-2021_jeroenzoet
5,2.17,18,13,72.2,0,1,1,1,50,0,0,0,,,2020-2021_rafael
53,1.56,182,129,73.6,6,10,18,6,17.6,5,5,0,0,,2020-2021_alessiocragno
6,1.5,21,15,71.4,3,0,1,1,25,0,0,0,,,2020-2021_guglielmovicario
62,1.94,134,72,59.7,5,13,14,7,21.9,9,8,0,0,,2020-2021_salvatoresirigu
6,1.2,20,14,75,2,2,1,1,20,1,1,0,0,,2020-2021_vanjamilinkovic-savic
1,1,3,2,66.7,0,1,0,0,0,0,0,0,,,2020-2021_samirujkani
74,2,172,103,59.3,7,11,19,7,18.9,5,4,1,20,,2020-2021_lorenzomontipo
1,1,5,4,80,0,1,0,0,0,0,0,0,,,2020-2021_niccolomanfredini
91,2.53,207,118,58.5,6,3,27,2,5.6,5,5,0,0,,2020-2021_alexcordaz
0,0,1,1,100,0,1,0,1,100,0,0,0,,,2020-2021_giancrespi
1,1,8,7,87.5,0,1,0,0,0,0,0,0,,,2020-2021_marcofesta
76,2.11,181,108,59.1,3,11,22,5,13.9,2,2,0,0,,2020-2021_luigisepe
7,3.5,10,3,40,0,0,2,0,0,1,1,0,0,,2020-2021_simonecolombi
15,0.75,75,60,80,16,2,2,9,45,0,0,0,,,2020-2021_andreonana
7,0.58,33,25,81.8,10,2,0,6,50,2,1,1,50,,2020-2021_maartenstekelenburg
1,0.5,1,0,0,2,0,0,1,50,0,0,0,,,2020-2021_kjellscherpen
35,1.06,109,74,72.5,20,9,4,11,33.3,6,5,1,16.7,,2020-2021_yvonmvogo
0,0,0,0,,1,0,0,1,100,0,0,0,,,2020-2021_larsunnerstall
37,1.12,115,80,69.6,21,7,5,10,30.3,2,2,0,0,,2020-2021_marcobizot
4,3.83,6,2,66.7,0,1,0,0,0,2,2,0,0,,2020-2021_hobieverhulst
37,1.12,135,97,74.1,17,7,9,12,36.4,3,2,1,33.3,,2020-2021_remkopasveer
1,1,1,0,100,1,0,0,0,0,1,1,0,0,,2020-2021_jeroenhouwen
17,0.85,77,60,81.8,10,6,4,9,45,4,3,0,0,,2020-2021_nickmarsman
19,1.36,66,50,78.8,6,5,3,4,28.6,5,5,0,0,,2020-2021_justinbijlow
25,1.09,74,50,71.6,11,8,4,7,30.4,4,4,0,0,,2020-2021_ericoelschlagel
11,1.37,27,16,63,1,5,2,0,0,1,1,0,0,,2020-2021_maartenpaes
5,1.67,11,6,54.5,1,1,1,1,33.3,0,0,0,,,2020-2021_thijmennijhuis
37,1.09,128,91,75,14,8,12,12,35.3,6,5,1,16.7,,2020-2021_sergiopadt
35,1.25,107,71,69.2,13,5,10,10,35.7,3,2,1,33.3,,2020-2021_madukaokoye
13,2.17,29,16,58.6,0,3,3,0,0,2,1,0,0,,2020-2021_benjaminvanleer
35,1.35,95,62,64.2,11,6,9,9,34.6,2,1,0,0,,2020-2021_janisblaswich
14,2.27,36,22,66.7,0,2,4,0,0,2,2,0,0,,2020-2021_michaelbrouwer
4,2,9,4,66.7,1,0,1,0,0,2,1,1,50,,2020-2021_koenbucker
50,1.47,157,108,72.6,10,11,13,6,17.6,10,7,2,22.2,,2020-2021_joeldrommel
42,1.62,126,86,72.2,11,3,12,2,7.7,8,7,0,0,,2020-2021_yanickvanosch
16,2.34,38,22,63.2,0,2,4,1,16.7,2,2,0,0,,2020-2021_alexeikoselev
0,0,2,2,100,1,0,1,1,50,0,0,0,,,2020-2021_pietvelthuizen
49,1.44,153,105,73.2,9,12,13,10,29.4,8,8,0,0,,2020-2021_erwinmulder
29,1.53,81,52,65.4,4,9,6,4,21.1,1,1,0,0,,2020-2021_michaelzetterer
24,1.6,77,54,71.4,5,2,8,3,20,2,2,0,0,,2020-2021_xaviermous
26,1.86,62,37,61.3,5,3,6,3,21.4,3,2,1,33.3,,2020-2021_arijanetmuric
20,1.94,49,29,65.3,2,1,7,2,20,3,3,0,0,,2020-2021_jornbrondeel
22,2.27,59,36,66.1,1,3,6,1,10,3,2,1,33.3,,2020-2021_robbinruiter
55,1.62,204,146,74.5,7,9,18,5,14.7,6,3,3,50,,2020-2021_kostaslamprou
34,2.43,85,52,61.2,0,5,9,2,14.3,1,1,0,0,,2020-2021_dennistelgenkamp
19,1.36,57,38,68.4,7,3,4,2,14.3,1,1,0,0,,2020-2021_michaelverrips
15,2.5,37,22,64.9,0,1,5,0,0,2,2,0,0,,2020-2021_felixwiedwald
65,2.28,184,119,69,6,4,19,1,3.4,9,8,1,11.1,,2020-2021_thorstenkirschbaum
26,4.73,58,32,58.6,0,1,4,0,0,2,2,0,0,,2020-2021_delanovancrooy
44,2.32,130,87,69.2,2,5,12,2,10.5,4,4,0,0,,2020-2021_luukkoopmans
32,2.13,88,56,65.9,2,5,8,3,20,3,2,0,0,,2020-2021_martinfraisl
19,0.59,75,56,76,24,7,1,19,59.4,2,1,1,50,,2020-2021_antonioadan
0,0,1,1,100,2,0,0,1,50,0,0,0,,,2020-2021_luismaximiano
1,3.6,1,0,0,0,0,0,0,,0,0,0,,,2020-2021_andrepaulo
26,0.79,86,59,73.3,24,8,1,16,48.5,4,3,1,25,,2020-2021_agustinmarchesin
3,3,4,1,25,0,0,1,0,0,0,0,0,,,2020-2021_diogocosta
16,0.89,64,48,76.6,12,3,3,7,38.9,2,1,1,50,,2020-2021_odisseasvlachodimos
10,0.67,46,36,82.6,11,3,1,8,53.3,2,2,0,0,,2020-2021_heltonleite
1,1,2,1,50,0,1,0,0,0,0,0,0,,,2020-2021_milesvilar
33,1.03,95,61,68.4,18,6,8,9,28.1,4,3,1,25,,2020-2021_matheus
0,0,2,2,100,1,1,0,2,100,0,0,0,,,2020-2021_tiagosa
37,1.16,107,69,72.9,14,8,10,9,28.1,9,8,1,11.1,,2020-2021_jordialmeida
4,2.03,9,5,55.6,1,0,1,0,0,0,0,0,,,2020-2021_michael
0,0,0,0,,0,0,0,0,,0,0,0,,,2020-2021_joseoliveira
36,1.09,106,71,70.8,12,7,14,9,27.3,6,5,1,16.7,,2020-2021_marcoandrerochapereira
0,0,5,5,100,1,0,0,1,100,0,0,0,,,2020-2021_andreferreira
41,1.32,129,88,70.5,11,6,14,10,32.3,4,3,0,0,,2020-2021_brunovarela
3,1,19,16,84.2,1,1,1,2,66.7,0,0,0,,,2020-2021_matoustrmal
38,1.27,138,101,75.4,8,12,10,8,26.7,4,4,0,0,,2020-2021_mateuspasinato
3,1.5,6,4,66.7,1,1,0,0,0,1,1,0,0,,2020-2021_kewin
2,1,8,6,87.5,1,0,1,1,50,1,1,0,0,,2020-2021_migueloliveira
27,1.17,77,50,67.5,7,7,9,9,39.1,4,2,1,33.3,,2020-2021_luizlucioreisjunior
9,1.5,25,17,68,2,0,4,0,0,1,1,0,0,,2020-2021_vana
12,2.4,28,16,57.1,1,3,1,0,0,0,0,0,,,2020-2021_ivanzlobin
27,1.05,112,85,82.1,7,11,9,9,33.3,9,7,1,12.5,,2020-2021_stanislavkritsyuk
7,0.88,36,29,83.3,2,2,3,4,57.1,1,1,0,0,,2020-2021_andremoreira
1,3.21,1,0,0,0,0,0,0,,0,0,0,,,2020-2021_guilhermemataoliveira
38,1.19,119,83,70.6,11,5,16,10,31.3,7,3,3,50,,2020-2021_denis
0,0,1,1,100,0,1,0,1,100,0,0,0,,,2020-2021_brianaraujo
4,4,4,0,0,0,0,1,0,0,0,0,0,,,2020-2021_quentinbeunardeau
26,1.61,72,46,65.3,4,3,10,4,23.5,2,1,0,0,,2020-2021_babacarniasse
29,1.72,90,62,68.9,6,3,7,2,12.5,1,1,0,0,,2020-2021_pedrotrigueira
2,2,5,3,80,0,0,1,0,0,1,1,0,0,,2020-2021_joelsousa
50,1.47,138,97,68.1,8,12,14,9,26.5,12,6,3,33.3,,2020-2021_leonardocesarjardim
37,1.25,109,74,69.7,8,6,15,9,31,5,4,1,20,,2020-2021_samuelportugal
4,0.93,14,9,71.4,1,2,2,2,40,1,0,1,100,,2020-2021_ricardoabelbarbosaferreira
34,1.17,125,91,75.2,10,5,14,10,34.5,4,3,1,25,,2020-2021_amirabedzadeh
9,3,11,3,27.3,0,0,3,0,0,1,1,0,0,,2020-2021_charles
4,2,9,5,55.6,0,0,2,0,0,0,0,0,,,2020-2021_caiosecco
40,1.18,125,86,69.6,7,13,14,11,32.4,3,2,1,33.3,,2020-2021_pawekieszek
25,1.35,73,48,69.9,4,6,9,2,10.5,3,3,0,0,,2020-2021_rafaeldefendi
16,1.45,42,26,64.3,3,3,5,4,36.4,1,1,0,0,,2020-2021_beto
7,1.57,19,12,78.9,0,1,3,0,0,3,3,0,0,,2020-2021_hugomarques
19,1.36,64,44,76.6,3,5,6,4,28.6,6,4,2,33.3,,2020-2021_danielguimaraes
20,1.82,45,25,57.8,2,1,8,2,18.2,3,1,1,50,,2020-2021_riccardopiscitelli
20,2.22,55,35,67.3,1,1,7,1,11.1,3,2,1,33.3,,2020-2021_antoniofilipedecarvalho
26,0.7,83,57,69.9,28,6,3,20,54.1,1,1,0,0,,2021-2022_ederson
0,0,2,2,100,1,0,0,1,100,0,0,0,,,2021-2022_zacksteffen
24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,,,2021-2022_alisson
2,1,8,6,75,1,1,0,1,50,0,0,0,,,2021-2022_caoimhinkelleher
31,0.91,102,72,75.5,19,10,5,14,41.2,6,6,0,0,,2021-2022_edouardmendy
2,0.5,13,11,84.6,2,1,1,2,50,0,0,0,,,2021-2022_kepaarrizabalaga
40,1.05,137,98,72.3,22,5,11,16,42.1,2,2,0,0,,2021-2022_hugolloris
39,1.15,128,90,73.4,21,3,10,12,35.3,6,5,0,0,,2021-2022_aaronramsdale
9,2.25,19,10,52.6,1,0,3,1,25,0,0,0,,,2021-2022_berndleno
57,1.5,180,124,70,16,10,12,8,21.1,5,3,2,40,,2021-2022_daviddegea
50,1.35,162,111,70.4,16,8,13,8,21.6,6,2,3,60,,2021-2022_ukaszfabianski
1,1,3,2,66.7,0,0,1,0,0,0,0,0,,,2021-2022_alphonseareola
58,1.57,187,128,72.7,13,10,14,7,18.9,9,7,2,22.2,,2021-2022_kasperschmeichel
1,1,5,4,80,1,0,0,0,0,0,0,0,,,2021-2022_dannyward
42,1.14,141,99,72.3,12,15,10,11,29.7,4,3,0,0,,2021-2022_robertsanchez
2,2,5,3,60,0,0,1,0,0,0,0,0,,,2021-2022_jasonsteele
40,1.1,160,121,80.6,15,5,17,11,29.7,10,9,0,0,,2021-2022_josesa
3,2,7,4,57.1,0,1,0,0,0,0,0,0,,,2021-2022_johnruddy
35,1.35,106,72,67.9,13,4,9,8,30.8,1,1,0,0,,2021-2022_martindubravka
15,1.87,37,23,64.9,0,5,3,0,0,2,2,0,0,,2021-2022_karldarlow
12,3,22,9,54.5,0,1,3,0,0,3,2,1,33.3,,2021-2022_freddiewoodman
33,1.12,116,83,74.1,9,11,10,11,36.7,3,3,0,0,,2021-2022_vicenteguaita
13,1.53,28,16,53.6,2,4,2,1,12.5,1,0,1,100,,2021-2022_jackbutland
27,1.13,103,76,77.7,10,5,9,8,33.3,4,4,0,0,,2021-2022_davidraya
24,2,69,47,66.7,3,2,7,1,8.3,1,1,0,0,,2021-2022_alvarofernandez
5,2.5,7,2,28.6,0,0,2,0,0,0,0,0,,,2021-2022_jonaslossl
48,1.33,140,93,68.6,13,6,17,11,30.6,6,4,1,20,,2021-2022_emilianomartinez
3,3,5,2,40,0,0,1,0,0,0,0,0,,,2021-2022_robinolsen
3,3,4,1,25,0,0,1,0,0,0,0,0,,,2021-2022_jedsteer
35,1.84,101,68,67.3,6,5,8,3,15.8,2,2,0,0,,2021-2022_fraserforster
27,1.59,71,44,62,3,7,7,5,29.4,0,0,0,,,2021-2022_alexmccarthy
5,2.5,11,6,54.5,0,1,1,0,0,0,0,0,,,2021-2022_willycaballero
58,1.66,170,116,66.5,10,6,19,7,20,1,1,0,0,,2021-2022_jordanpickford
8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,,2021-2022_asmirbegovic
79,2.1,220,142,66.4,9,11,18,5,13.2,5,5,0,0,,2021-2022_illanmeslier
0,0,4,4,100,0,0,0,0,,0,0,0,,,2021-2022_kristofferklaesson
47,1.31,165,119,74.5,7,14,15,9,25,5,5,0,0,,2021-2022_nickpope
6,3,13,8,53.8,0,0,2,0,0,0,0,0,,,2021-2022_waynehennessey
49,1.88,116,67,60.3,5,5,16,4,15.4,4,3,1,25,,2021-2022_benfoster
28,2.33,72,46,65.3,1,0,11,0,0,3,3,0,0,,2021-2022_danielbachmann
62,2.14,165,105,66.7,4,5,20,5,17.2,8,7,0,0,,2021-2022_timkrul
22,2.44,57,34,64.9,1,2,6,1,11.1,4,2,1,33.3,,2021-2022_angusgunn
26,0.93,89,63,71.9,22,4,2,10,35.7,1,1,0,0,,2021-2022_manuelneuer
11,1.83,23,13,56.5,2,1,3,1,16.7,1,1,0,0,,2021-2022_svenulreich
0,0,0,0,,0,0,0,0,,0,0,0,,,2021-2022_christianfruchtl
39,1.37,110,73,67.3,20,3,6,7,24.1,3,3,0,0,,2021-2022_gregorkobel
12,2.67,25,13,60,1,0,3,0,0,2,2,0,0,,2021-2022_marwinhitz
1,1,1,0,100,1,0,0,0,0,1,1,0,0,,2021-2022_romanburki
44,1.37,154,109,72.7,17,7,8,8,25,4,2,1,33.3,,2021-2022_lukashradecky
2,2,6,5,66.7,1,0,0,0,0,0,0,0,,,2021-2022_lennartgrill
1,1,2,1,50,1,0,0,0,0,0,0,0,,,2021-2022_andreylunyov
34,1.03,111,78,72.1,17,7,9,9,27.3,3,3,0,0,,2021-2022_petergulacsi
3,3,4,1,25,0,0,1,0,0,0,0,0,,,2021-2022_josepmartinez
0,0,0,0,,0,0,0,1,,0,0,0,,,2021-2022_philipptschauner
39,1.44,104,68,64.4,11,7,9,6,22.2,2,2,0,0,,2021-2022_andreasluthe
5,0.71,18,14,72.2,5,2,0,2,28.6,0,0,0,,,2021-2022_frederikrnnow
