GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches,Key
43,1.71,140,98,73.6,6,7,12,3,12,7,6,1,14.3,,2017-2018_alfredgomis
16,1.24,60,44,78.3,2,7,4,4,30.8,5,3,2,40,,2017-2018_alexmeret
0,0,0,0,,0,0,0,0,,0,0,0,,,2017-2018_gabrielemarchegiani
66,1.74,200,133,70,9,8,21,5,13.2,8,6,1,14.3,,2017-2018_alexcordaz
71,1.97,233,162,72.1,7,4,25,7,19.4,8,6,2,25,,2017-2018_nicolasandrade
7,3.5,25,18,72,0,0,2,0,0,0,0,0,,,2017-2018_marcosilvestri
26,1.98,65,39,67.7,3,1,10,2,14.3,6,5,0,0,,2017-2018_christianpuggioni
27,2.18,74,49,67.6,2,0,11,1,7.7,3,3,0,0,,2017-2018_vidbelec
31,2.48,70,39,58.6,1,2,8,1,9.1,4,2,0,0,,2017-2018_albertobrignoli
34,1.06,130,96,80,26,3,3,14,43.8,9,8,1,11.1,,2017-2018_jeroenzoet
5,2.49,12,7,66.7,0,2,0,0,0,1,1,0,0,,2017-2018_eloyroom
32,0.97,130,98,76.9,24,4,5,12,36.4,4,2,2,50,,2017-2018_andreonana
1,1,4,3,75,1,0,0,0,0,0,0,0,,,2017-2018_kostaslamprou
38,1.12,138,100,76.1,22,5,7,13,38.2,8,5,2,28.6,,2017-2018_marcobizot
35,1.13,115,80,73,17,6,8,10,32.3,4,4,0,0,,2017-2018_bradjones
4,1.33,12,8,66.7,3,0,0,0,0,1,0,1,100,,2017-2018_justinbijlow
56,1.7,145,89,64.1,14,11,8,7,21.2,4,4,0,0,,2017-2018_davidjensen
1,1,4,3,75,0,1,0,0,0,0,0,0,,,2017-2018_nickmarsman
33,1.27,99,66,67.7,11,8,7,6,23.1,2,1,0,0,,2017-2018_remkopasveer
16,2,48,32,66.7,2,2,4,3,37.5,0,0,0,,,2017-2018_jeroenhouwen
47,1.65,161,114,73.3,11,6,11,7,24.1,5,4,1,20,,2017-2018_robertzwinkels
11,2.2,26,15,61.5,2,2,1,0,0,1,1,0,0,,2017-2018_indygroothuizen
0,0,4,4,100,0,0,1,0,,0,0,0,,,2017-2018_timcoremans
36,1.59,97,61,63.9,9,5,9,5,21.7,2,1,1,50,,2017-2018_martinhansen
10,1.23,31,21,67.7,2,3,3,3,33.3,0,0,0,,,2017-2018_warnerhahn
7,2.13,9,2,44.4,1,2,0,0,0,2,2,0,0,,2017-2018_woutervandersteen
50,1.52,167,117,71.9,12,8,13,7,21.2,4,3,1,25,,2017-2018_diederikboer
0,0,1,1,100,0,0,0,0,0,0,0,0,,,2017-2018_mickeyvanderhart
4,7.66,10,6,60,0,0,1,0,,0,0,0,,,2017-2018_mikehauptmeijer
64,1.88,225,161,73.3,11,9,14,4,11.8,4,4,0,0,,2017-2018_bramcastro
25,1.56,82,57,72,6,3,7,4,25,2,2,0,0,,2017-2018_theozwarthoed
27,1.8,93,66,76.3,4,3,8,2,13.3,5,5,0,0,,2017-2018_ogmundurkristinsson
4,1.33,10,6,60,1,1,1,0,0,0,0,0,,,2017-2018_alessandrodamen
50,1.47,209,159,78,8,14,12,7,20.6,4,4,0,0,,2017-2018_sergiopadt
31,1.59,111,80,76.6,6,5,9,3,15,5,5,0,0,,2017-2018_mattijsbranderhorst
32,2.21,81,49,65.4,4,2,8,1,7.1,4,4,0,0,,2017-2018_timonwellenreuther
22,1.38,94,72,77.7,5,5,5,4,25,1,1,0,0,,2017-2018_nigelbertrams
