Year,Country,Int Matches Played,Int Starts,Int Min,Int 90s,Int Goals,Int Assists,Int Goals + Assists ,Int Non Penalty Goals,Int Penalty Goals,Int Penaltes Attempted,Int Yellow Cards,Int Red Cards,Int Goals Per 90,Int Assists Per 90,Int Goals + Assits Per 90,Int Non Penalty Goals Per 90,Int Non Penalty Goals + Assits Per 90,Key
2019,albania ,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_qazimlaci
2019,albania ,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_ylberramadani
2019,albania ,1,1,84,0.9,1,1,2,1,0,0,0,0,1.07,1.07,2.14,1.07,2.14,2018-2019_myrtouzuni
2019,albania ,1,1,64,0.7,0,1,1,0,0,0,0,0,0,1.41,1.41,0,1.41,2018-2019_lindonselahi
2019,albania ,1,1,45,0.5,1,0,1,1,0,0,0,0,2,0,2,2,2,2018-2019_bekimbalaj
2019,albania ,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_etritberisha
2019,albania ,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_erionhoxhallari
2019,albania ,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_taulantseferi
2019,albania ,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_albanhoxha
2019,albania ,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_elseidhysaj
2019,albania ,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_reymanaj
2019,albania ,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_freddieveseli
2019,albania ,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_sherifkallaku
2019,albania ,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-2019_marselismajlgeci
2019,albania ,0,0,,,,,,,,,,,,,,,,2018-2019_amirabrashi
2019,albania ,0,0,,,,,,,,,,,,,,,,2018-2019_emilianobullari
2019,albania ,0,0,,,,,,,,,,,,,,,,2018-2019_eniscokaj
2019,albania ,0,0,,,,,,,,,,,,,,,,2018-2019_beratdjimsiti
2019,albania ,0,0,,,,,,,,,,,,,,,,2018-2019_ledianmemushaj
2019,albania ,0,0,,,,,,,,,,,,,,,,2018-2019_marcomolla
2020,albania ,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,2019-2020_beratdjimsiti
2020,albania ,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_freddieveseli
2020,albania ,5,5,445,4.9,0,0,0,0,0,0,2,0,0,0,0,0,0,2019-2020_amirabrashi
2020,albania ,6,5,428,4.8,2,0,2,1,1,1,1,0,0.42,0,0.42,0.21,0.21,2019-2020_reymanaj
2020,albania ,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_etritberisha
2020,albania ,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2019-2020_kastriotdermaku
2020,albania ,4,3,276,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,2019-2020_klausgjasula
2020,albania ,3,3,270,3,1,0,1,1,0,0,1,0,0.33,0,0.33,0.33,0.33,2019-2020_keidibare
2020,albania ,3,3,266,3,0,1,1,0,0,0,2,1,0,0.34,0.34,0,0.34,2019-2020_elseidhysaj
2020,albania ,4,3,252,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_lorenctrashi
2020,albania ,4,3,246,2.7,0,0,0,0,0,0,2,0,0,0,0,0,0,2019-2020_qazimlaci
2020,albania ,3,3,219,2.4,4,0,4,3,1,1,0,0,1.64,0,1.64,1.23,1.23,2019-2020_sokolcikalleshi
2020,albania ,2,2,180,2,1,0,1,1,0,0,0,0,0.5,0,0.5,0.5,0.5,2019-2020_ardianismajli
2020,albania ,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_thomasstrakosha
2020,albania ,3,2,162,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,2019-2020_armandobroja
2020,albania ,2,2,149,1.7,0,1,1,0,0,0,0,0,0,0.6,0.6,0,0.6,2019-2020_ledianmemushaj
2020,albania ,2,2,146,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,2019-2020_marashkumbulla
2020,albania ,2,2,143,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_sherifkallaku
2020,albania ,3,1,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_eneamihaj
2020,albania ,3,1,117,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,2019-2020_myrtouzuni
2020,albania ,2,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_albidoka
2020,albania ,2,1,99,1.1,0,1,1,0,0,0,0,0,0,0.91,0.91,0,0.91,2019-2020_hysenmemolla
2020,albania ,3,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_taulantseferi
2020,albania ,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_armandosadiku
2020,albania ,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_ermirlenjani
2020,albania ,3,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_bekimbalaj
2020,albania ,2,0,38,0.4,0,1,1,0,0,0,0,0,0,2.37,2.37,0,2.37,2019-2020_odiseroshi
2020,albania ,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_giacomovrioni
2020,albania ,2,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_lindonselahi
2020,albania ,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_endricekici
2020,albania ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020_ylberramadani
2020,albania ,0,0,,,,,,,,,,,,,,,,2019-2020_ramencepele
2020,albania ,0,0,,,,,,,,,,,,,,,,2019-2020_eniscokaj
2020,albania ,0,0,,,,,,,,,,,,,,,,2019-2020_albanhoxha
2020,albania ,0,0,,,,,,,,,,,,,,,,2019-2020_marselismajlgeci
2020,albania ,0,0,,,,,,,,,,,,,,,,2019-2020_marcomolla
2020,albania ,0,0,,,,,,,,,,,,,,,,2019-2020_gentianselmani
2021,albania ,9,9,808,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2020-2021_ardianismajli
2021,albania ,8,8,695,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,2020-2021_beratdjimsiti
2021,albania ,8,7,655,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,2020-2021_freddieveseli
2021,albania ,8,7,647,7.2,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14,2020-2021_elseidhysaj
2021,albania ,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021_etritberisha
2021,albania ,8,6,486,5.4,1,0,1,1,0,0,2,0,0.19,0,0.19,0.19,0.19,2020-2021_amirabrashi
2021,albania ,8,6,426,4.7,2,0,2,2,0,0,1,0,0.42,0,0.42,0.42,0.42,2020-2021_bekimbalaj
2021,albania ,6,5,479,5.3,1,1,2,1,0,0,2,0,0.19,0.19,0.38,0.19,0.38,2020-2021_keidibare
2021,albania ,5,5,450,5,1,0,1,1,0,0,2,0,0.2,0,0.2,0.2,0.2,2020-2021_kastriotdermaku
2021,albania ,5,5,450,5,2,1,3,2,0,0,0,0,0.4,0.2,0.6,0.4,0.6,2020-2021_reymanaj
2021,albania ,6,5,390,4.3,0,3,3,0,0,0,1,0,0,0.69,0.69,0,0.69,2020-2021_ledianmemushaj
2021,albania ,5,5,308,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021_ermirlenjani
2021,albania ,5,4,398,4.4,0,0,0,0,0,0,3,0,0,0,0,0,0,2020-2021_klausgjasula
2021,albania ,6,4,388,4.3,4,0,4,3,1,1,2,0,0.93,0,0.93,0.7,0.7,2020-2021_sokolcikalleshi
2021,albania ,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2020-2021_thomasstrakosha
2021,albania ,4,4,360,4,0,1,1,0,0,0,0,0,0,0.25,0.25,0,0.25,2020-2021_myrtouzuni
2021,albania ,4,3,246,2.7,0,0,0,0,0,0,2,0,0,0,0,0,0,2020-2021_taulantxhaka
2021,albania ,3,3,214,2.4,1,0,1,1,0,0,1,0,0.42,0,0.42,0.42,0.42,2020-2021_ylberramadani
2021,albania ,4,3,191,2.1,1,0,1,1,0,0,0,0,0.47,0,0.47,0.47,0.47,2020-2021_armandosadiku
2021,albania ,7,2,337,3.7,1,4,5,1,0,0,1,0,0.27,1.07,1.34,0.27,1.34,2020-2021_odiseroshi
2021,albania ,3,2,197,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021_ergyskace
2021,albania ,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021_mergimmavraj
2021,albania ,2,2,153,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,2020-2021_migjenbasha
2021,albania ,3,2,144,1.6,1,0,1,1,0,0,0,0,0.62,0,0.62,0.62,0.62,2020-2021_lorenctrashi
2021,albania ,2,2,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021_erosgrezda
2021,albania ,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021_naseraliji
2021,albania ,2,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021_emanuelendoj
2021,albania ,1,1,58,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,2020-2021_ivanballiu
2021,albania ,2,1,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021_kristiqose
2021,albania ,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021_taulantseferi
2021,albania ,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021_marashkumbulla
2021,albania ,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021_lindonselahi
2021,albania ,0,0,,,,,,,,,,,,,,,,2020-2021_kristalabazaj
2021,albania ,0,0,,,,,,,,,,,,,,,,2020-2021_arlindajeti
2021,albania ,0,0,,,,,,,,,,,,,,,,2020-2021_egzonbinaku
2021,albania ,0,0,,,,,,,,,,,,,,,,2020-2021_albanhoxha
2021,albania ,0,0,,,,,,,,,,,,,,,,2020-2021_hysenmemolla
2021,albania ,0,0,,,,,,,,,,,,,,,,2020-2021_eneamihaj
2021,albania ,0,0,,,,,,,,,,,,,,,,2020-2021_gentianselmani
2022,albania ,9,9,800,8.9,1,0,1,1,0,0,3,0,0.11,0,0.11,0.11,0.11,2021-2022_elseidhysaj
2022,albania ,8,8,607,6.7,0,2,2,0,0,0,2,0,0,0.3,0.3,0,0.3,2021-2022_keidibare
2022,albania ,10,7,639,7.1,2,1,3,2,0,0,0,0,0.28,0.14,0.42,0.28,0.42,2021-2022_myrtouzuni
2022,albania ,7,7,630,7,0,0,0,0,0,0,2,0,0,0,0,0,0,2021-2022_ardianismajli
2022,albania ,7,7,569,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,2021-2022_beratdjimsiti
2022,albania ,7,7,556,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_marashkumbulla
2022,albania ,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_etritberisha
2022,albania ,6,6,349,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,2021-2022_lorenctrashi
2022,albania ,6,5,482,5.4,0,1,1,0,0,0,6,0,0,0.19,0.19,0,0.19,2021-2022_klausgjasula
2022,albania ,7,5,450,5,2,0,2,2,0,0,2,0,0.4,0,0.4,0.4,0.4,2021-2022_reymanaj
2022,albania ,6,5,379,4.2,1,0,1,1,0,0,2,0,0.24,0,0.24,0.24,0.24,2021-2022_sokolcikalleshi
2022,albania ,7,4,429,4.8,1,0,1,1,0,0,1,0,0.21,0,0.21,0.21,0.21,2021-2022_qazimlaci
2022,albania ,5,4,421,4.7,0,1,1,0,0,0,1,0,0,0.21,0.21,0,0.21,2021-2022_freddieveseli
2022,albania ,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_thomasstrakosha
2022,albania ,6,3,302,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,2021-2022_ylberramadani
2022,albania ,6,3,246,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_nedimbajrami
2022,albania ,8,2,340,3.8,0,2,2,0,0,0,2,0,0,0.53,0.53,0,0.53,2021-2022_odiseroshi
2022,albania ,7,2,229,2.5,3,2,5,3,0,0,1,0,1.18,0.79,1.97,1.18,1.97,2021-2022_armandobroja
2022,albania ,5,2,225,2.5,1,0,1,1,0,0,0,0,0.4,0,0.4,0.4,0.4,2021-2022_ermirlenjani
2022,albania ,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_eneamihaj
2022,albania ,4,2,174,1.9,1,0,1,0,1,1,2,0,0.52,0,0.52,0,0,2021-2022_endricekici
2022,albania ,2,2,141,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,2021-2022_amirabrashi
2022,albania ,2,1,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_kastriotdermaku
2022,albania ,2,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_erionhoxhallari
2022,albania ,2,1,101,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_bekimbalaj
2022,albania ,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_arlindajeti
2022,albania ,2,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_albidoka
2022,albania ,2,1,81,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,2021-2022_ledianmemushaj
2022,albania ,1,1,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_hysenmemolla
2022,albania ,1,1,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_taulantseferi
2022,albania ,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_ernestmuci
2022,albania ,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_eniscokaj
2022,albania ,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_ivanballiu
2022,albania ,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-2022_mariomitaj
2022,albania ,0,0,,,,,,,,,,,,,,,,2021-2022_ramencepele
