Passes_Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Completed,Offside_pass,Blocked,Key
1893,1821,70,54,1,31,17,2,6,1716,2,16,2017-2018_franbeltran
153,134,18,3,1,0,7,1,6,132,1,1,2017-2018_hatembenarfa
0,0,0,0,0,0,0,0,0,0,0,0,2017-2018_salimbenseghir
688,630,54,2,8,1,14,2,0,496,4,12,2017-2018_wissambenyedder
133,116,17,4,0,3,4,12,0,108,0,4,2017-2018_marcobenassi
174,161,13,1,1,1,13,9,1,117,0,10,2017-2018_marcobenassi
112,102,9,0,0,4,6,1,0,72,1,2,2017-2018_dariobenedetto
12,12,0,0,0,0,0,0,0,9,0,0,2017-2018_dariobenedetto
187,160,25,14,0,0,15,1,10,138,2,1,2017-2018_laszlobenes
1036,702,332,72,0,2,0,0,0,777,2,0,2017-2018_walterbenitez
29,27,0,0,0,0,4,0,0,19,2,1,2017-2018_ikerbenito
52,46,6,1,0,0,0,5,0,42,0,0,2017-2018_lorisbenito
5,5,0,0,0,0,1,0,0,3,0,0,2017-2018_pedrobenito
5,5,0,0,0,0,0,0,0,4,0,0,2017-2018_filipbenkovic
1102,1037,61,41,4,12,24,5,15,950,4,9,2017-2018_ismaelbennacer
Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Cmp,Off,Blocks,2017-2018_player
25,23,2,0,0,0,2,2,0,17,0,1,2017-2018_keananbennetts
841,813,27,4,5,5,74,4,1,632,1,27,2017-2018_saidbenrahma
1288,1148,132,30,2,5,15,99,1,1046,8,26,2017-2018_ramybensebaini
913,886,26,23,1,3,3,3,0,755,1,11,2017-2018_nabilbentaleb
1019,1002,17,14,5,8,9,3,0,912,0,14,2017-2018_rodrigobentancur
758,746,11,10,2,2,4,1,0,659,1,11,2017-2018_rodrigobentancur
305,279,23,1,2,1,0,4,0,196,3,3,2017-2018_christianbenteke
1245,1175,57,4,6,10,10,2,8,1043,13,30,2017-2018_karimbenzema
30,21,9,2,0,0,0,0,0,13,0,0,2017-2018_alessandroberardi
1402,1284,115,43,15,37,102,13,59,996,3,51,2017-2018_domenicoberardi
634,509,120,17,0,8,33,103,0,487,5,12,2017-2018_yuriberchiche
