Season,home_team,away_team,home_score,away_score,result,Cmp,Int 90s,Carries,ProgressivegDist,LP_Cmp,Goals,Att,SCA90,Recievd ,Tackles_Won,Int Min,PenaltiesAttemped,LP_Att,PKatt_y,PrgDist,DribbleTkld,SCA,DribbleSucc,Int Goals,MP_Att,GoalsandAssists,ProgressiveReceive,TotDist_y,GA,Int Goals Per 90,Tackles_mid_3rd,Int Starts,NonPenaltyGoals,TouchesLive,Touches,Sh/90,Total_Tackles,PenaltyGoals,TouchesDef 3rd,DribblesAtt,TouchesAtt 3rd,MP_Cmp,Int Non Penalty Goals,SoTA,Int Non Penalty Goals Per 90,SP_Cmp,original_Season,original_home_team,original_away_team
1,32,28,2.0,4.0,Portugal,495.7142857142858,-1.871428571428571,332.57142857142856,1671.4285714285716,-136.0,-7.0,773.1428571428571,-0.6266666666666674,467.57142857142856,19.375,-172.4285714285714,1.0,-321.0,1.0,-3543.0,-0.75,19.41666666666669,0.9166666666666714,-2.0,166.57142857142856,-10.0,-20.75,2444.142857142857,,-0.7533333333333333,5.125,-2.071428571428571,-8.333333333333334,885.7142857142858,888.7142857142858,-2.713333333333333,12.0,1.3333333333333333,-281.0,0.1666666666666714,116.58333333333326,72.85714285714278,-2.0,,-0.7533333333333333,342.42857142857144,2018-2019,Serbia,Portugal
1,15,0,4.0,1.0,France,-228.0,1.6428571428571428,-198.28571428571436,-911.571428571428,62.5,17.5,-248.71428571428575,2.486666666666667,-221.57142857142856,7.357142857142858,147.85714285714283,1.0,106.0,1.0,4691.0,20.0,53.25,25.91666666666667,1.0,-58.35714285714289,22.0,125.83333333333329,-1286.8571428571431,0.0,0.27,9.714285714285715,1.6428571428571428,17.0,-255.0714285714289,-255.0714285714289,3.69,15.0,0.5,404.0,45.91666666666666,293.08333333333326,-56.78571428571428,1.0,35.0,0.27,-168.64285714285722,2018-2019,France,Albania
1,36,26,1.0,1.0,Draw,945.5,-2.4875,672.25,2101.0,-148.0,-1.0,1208.5,-1.206666666666667,788.25,7.5,-221.875,0.0,-395.0,0.0,-7847.0,-17.75,-49.0,-27.0,-0.5,485.5,0.0,-59.5,3584.25,-6.0,-0.25,8.25,-2.5,-1.0,1435.75,1435.75,-0.9150000000000004,11.333333333333329,0.0,-298.0,-45.0,-230.08333333333337,394.25,-0.5,-17.0,-0.25,461.5,2018-2019,Sweden,Norway
1,2,6,4.0,2.0,Armenia,-96.33333333333331,0.0999999999999996,-188.0,-179.33333333333326,-35.66666666666667,-5.666666666666667,-162.0,-0.4499999999999997,-340.33333333333337,7.0,7.666666666666686,0.0,-22.333333333333343,0.0,-176.0,-15.666666666666671,-61.66666666666666,-16.0,-2.333333333333333,-65.0,-9.0,-149.0,-1219.3333333333337,,-0.6266666666666667,4.333333333333334,0.0,-5.666666666666667,-353.0,-353.0,-1.8633333333333335,5.666666666666668,0.0,21.33333333333333,-31.666666666666664,-220.66666666666669,-43.33333333333334,-2.333333333333333,,-0.6266666666666667,-13.333333333333371,2018-2019,Armenia,Bosnia
1,14,20,1.0,2.0,Italy,469.2777777777778,5.12,325.2777777777778,1896.7222222222224,106.0,-8.0,434.05555555555566,-2.6355000000000004,402.1111111111112,-4.142857142857142,461.4,-2.2,193.0,-2.2,3172.0,-32.375,-94.375,-26.175,0.0,375.83333333333337,-10.3,-208.725,2738.5,16.0,0.0,-3.571428571428573,5.05,-6.199999999999999,437.16666666666674,437.05555555555566,-2.6180000000000003,-1.0,-1.8,159.0,-58.55,-572.05,393.94444444444446,0.0,1.0,0.0,-32.833333333333314,2018-2019,Finland,Italy
1,13,25,0.0,4.0,Netherlands,-1017.6428571428572,-2.9642857142857144,-872.0,-2077.7857142857147,60.5,-20.5,-1169.571428571429,-3.8575,-906.2142857142858,-26.285714285714285,-268.9285714285714,-0.5,100.0,-0.5,2897.0,-27.916666666666664,-110.33333333333334,-44.0,0.0,-488.28571428571433,-29.5,-207.41666666666669,-3681.071428571429,,0.0,-28.785714285714285,-2.7142857142857144,-20.0,-1353.7142857142858,-1353.7142857142858,-3.645,-50.642857142857146,-0.5,333.5,-71.91666666666667,-646.75,-432.9285714285714,0.0,,0.0,-495.6428571428571,2018-2019,Estonia,Netherlands
1,18,33,1.0,2.0,Slovakia,-27.0,1.0666666666666664,-163.0,-218.0,-13.0,1.2000000000000002,110.0,0.5579999999999998,-111.33333333333336,-14.0,95.66666666666664,-0.4,-121.0,-0.4,-330.0,-1.0,1.3999999999999986,-13.8,3.6,85.66666666666669,1.7999999999999998,40.4,-718.6666666666665,-21.0,0.556,-15.2,1.0,1.5999999999999996,296.33333333333337,296.33333333333337,2.354,-22.9,-0.4,-156.0,-14.799999999999995,-18.600000000000023,21.0,3.6,-23.0,0.556,-62.666666666666686,2018-2019,Hungary,Slovakia
1,27,3,0.0,0.0,Draw,275.0,-0.5,250.75,1069.9166666666663,-29.91666666666669,17.5,351.83333333333326,0.7124999999999999,225.0833333333333,21.91666666666667,-46.0,2.0,-2.416666666666657,2.0,667.416666666667,0.25,54.5,19.5,0.5,217.33333333333337,22.0,93.0,1224.5,,0.25,13.083333333333336,-0.5,16.0,492.75,492.75,1.95,30.0,1.5,259.75,19.75,261.5,180.25,0.0,,0.0,50.66666666666663,2018-2019,Poland,Austria
1,31,5,0.0,4.0,Belgium,562.8333333333334,0.8499999999999996,475.6666666666666,1224.1666666666667,-63.0,-4.9,768.0,-1.178,573.9166666666666,1.416666666666666,76.58333333333337,-1.0,-102.0,-1.0,334.0,-13.700000000000005,0.1500000000000056,-38.6,-0.8999999999999999,225.5,-2.8000000000000007,-49.69999999999999,1997.416666666667,,-0.482,-2.0,0.8333333333333335,-3.9,831.9166666666666,831.9166666666666,-1.3440000000000003,-2.583333333333336,-1.0,-246.0,-52.55,16.799999999999955,144.25,-0.7,,-0.4299999999999999,397.5,2018-2019,Scotland,Belgium
1,12,21,5.0,3.0,England,915.7,3.88,602.0,851.6999999999998,320.0,11.0,1062.55,-0.3058333333333336,723.0999999999999,9.166666666666664,347.95,0.5,803.0,0.5,19420.0,10.875,39.33333333333334,18.70833333333333,-1.5,459.7000000000001,15.5,104.16666666666669,1558.0,46.0,-0.94,8.333333333333336,3.4000000000000004,10.75,1098.8,1097.8,0.71,15.083333333333329,0.25,1309.0,29.708333333333343,286.29166666666663,410.95,-1.75,134.0,-0.9975,400.15,2018-2019,England,Kosovo
